,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
227,cap_and_trade,BREATHING EASIER CLEANER AIR MUST BE THE GOAL; CARBON CAP-AND-TRADE IS THE WAY FORWARD,,"Pittsburgh Post - Gazette; Pittsburgh, Pa.","Aug 5, 2021","Pittsburgh, Pa.",A-12,EDITORIAL,https://www.proquest.com/newspapers/breathing-easier-cleaner-air-must-be-goal-carbon/docview/2557976398/se-2?accountid=13360,PA
239,cap_and_trade,"A harmful policy on mercury, environment: [FIFTH Edition]",The Morning Call,"Morning Call; Allentown, Pa.","Mar 21, 2005","Allentown, Pa.",,OPINION,https://www.proquest.com/newspapers/harmful-policy-on-mercury-environment/docview/393145687/se-2?accountid=13360,PA
253,cap_and_trade,A BETTER PATH TO CLEAN ENERGY IS NEEDED 'CAP AND TRADE' IS ESSENTIALLY A POLLUTION TAX AND TRADE SCHEME,REP TIM MURPHY,"Pittsburgh Post - Gazette; Pittsburgh, Pa.","May 27, 2009","Pittsburgh, Pa.",B.7,EDITORIAL,https://www.proquest.com/newspapers/better-path-clean-energy-is-needed-cap-trade/docview/390656896/se-2?accountid=13360,PA
254,cap_and_trade,"Cap and trade pollution plan won't work, will last forever",Anonymous,"Citizens' Voice; Wilkes-Barre, Pa.","Feb 5, 2010","Wilkes-Barre, Pa.",T.19,,https://www.proquest.com/newspapers/cap-trade-pollution-plan-wont-work-will-last/docview/399184930/se-2?accountid=13360,PA
305,cap_and_trade,GROUP PETITIONS PA. TO CUT EMISSIONS CAP-AND-TRADE ALSO TO HELP STATE BUDGET,"Legere, Laura","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Nov 29, 2018","Pittsburgh, Pa.",D-1,BUSINESS,https://www.proquest.com/newspapers/group-petitions-pa-cut-emissions-cap-trade-also/docview/2139011023/se-2?accountid=13360,PA
307,cap_and_trade,ATTACKING CLIMATE CHANGE CAP AND TRADE IN PA. IS A GOOD PLACE TO START,,"Pittsburgh Post - Gazette; Pittsburgh, Pa.","Jan 9, 2019","Pittsburgh, Pa.",A-10,EDITORIAL,https://www.proquest.com/newspapers/attacking-climate-change-cap-trade-pa-is-good/docview/2164988172/se-2?accountid=13360,PA
314,cap_and_trade,FORGET 'CAP AND TRADE' A CARBON TAX WOULD BE SIMPLER AND MORE EFFECTIVE IN REDUCING GREENHOUSE GASES,"Hudak, Warren","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Apr 15, 2009","Pittsburgh, Pa.",B.7,EDITORIAL,https://www.proquest.com/newspapers/forget-cap-trade-carbon-tax-would-be-simpler-more/docview/390698816/se-2?accountid=13360,PA
322,cap_and_trade,PASS THIS AWFUL LEGISLATION THE CAP-AND-TRADE BILL IS A MESS; HERE'S WHY CONGRESS MUST APPROVE IT,"Friedman, Thomas L","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Jul 2, 2009","Pittsburgh, Pa.",B.7,EDITORIAL,https://www.proquest.com/newspapers/pass-this-awful-legislation-cap-trade-bill-is/docview/390613353/se-2?accountid=13360,PA
339,cap_and_trade,EPA CHIEF DEFENDS BUSH ON ENVIRONMENT: [SOONER Edition],"Hopey, Don","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Jan 31, 2004","Pittsburgh, Pa.",,LOCAL,https://www.proquest.com/newspapers/epa-chief-defends-bush-on-environment/docview/390951678/se-2?accountid=13360,PA
351,cap_and_trade,Wolf aligns Pa. with others on cap and trade: He signed an order to join a regional group of states to reduce emissions.,"McDaniel, Justine","Philadelphia Inquirer; Philadelphia, Pa.","Oct 4, 2019","Philadelphia, Pa.",A.2,NATIONAL,https://www.proquest.com/newspapers/wolf-aligns-pa-with-others-on-cap-trade/docview/2302840424/se-2?accountid=13360,PA
353,cap_and_trade,THE HOME FRONT STOP TOYING WITH SECURITY AND THE ENVIRONMENT: [REGION Edition],,"Pittsburgh Post - Gazette; Pittsburgh, Pa.","Jan 1, 2004","Pittsburgh, Pa.",,EDITORIAL,https://www.proquest.com/newspapers/home-front-stop-toying-with-security-environment/docview/390965384/se-2?accountid=13360,PA
411,cap_and_trade,Revving up on the environment,,"Philadelphia Daily News; Philadelphia, Pa.","Jan 19, 2010","Philadelphia, Pa.",14,EDITORIAL OPINION,https://www.proquest.com/newspapers/revving-up-on-environment/docview/430497679/se-2?accountid=13360,PA
412,cap_and_trade,America's carbon conflict continues,Anonymous,"The News - Item; Shamokin, Pa.","Apr 19, 2009","Shamokin, Pa.",A.5,,https://www.proquest.com/newspapers/americas-carbon-conflict-continues/docview/365815491/se-2?accountid=13360,PA
427,cap_and_trade,THE EMISSIONS CUTTERS CARRY ON DESPITE THE RISING COSTS,JACK SPENCER / NICOLAS LORIS,"Pittsburgh Post - Gazette; Pittsburgh, Pa.","Dec 26, 2009","Pittsburgh, Pa.",B.6,EDITORIAL,https://www.proquest.com/newspapers/emissions-cutters-carry-on-despite-rising-costs/docview/390405916/se-2?accountid=13360,PA
431,cap_and_trade,CLIMATE FOR CHANGE THE NEXT PRESIDENT MUST ADDRESS THE ENVIRONMENT,Anonymous,"Pittsburgh Post - Gazette; Pittsburgh, Pa.","Feb 17, 2008","Pittsburgh, Pa.",G.2,EDITORIAL,https://www.proquest.com/newspapers/climate-change-next-president-must-address/docview/390559364/se-2?accountid=13360,PA
472,cap_and_trade,"EPA submits standards to reform coal, curtail emissions","Williams, Damon C","Philadelphia Tribune; Philadelphia, Pa.","Jun 6, 2014","Philadelphia, Pa.",,STATE/REGION,https://www.proquest.com/newspapers/epa-submits-standards-reform-coal-curtail/docview/1540626938/se-2?accountid=13360,PA
483,cap_and_trade,CLEAR SKIES INITIATIVE IS A CLEAR WINNER FOR ALL AMERICANS: [SOONER Edition],"CHRISTINE TODD WHITMAN ADMINISTRATOR U.S. ENVIRONMENTAL PROTECTION AGENCY WASHINGTON, D.C.","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Mar 5, 2002","Pittsburgh, Pa.",,EDITORIAL,https://www.proquest.com/newspapers/clear-skies-initiative-is-winner-all-americans/docview/391177292/se-2?accountid=13360,PA
528,cap_and_trade,Environment groups turn from Corzine,Adrienne Lu INQUIRER TRENTON BUREAU,"Philadelphia Inquirer; Philadelphia, Pa.","Sep 27, 2009","Philadelphia, Pa.",A.1,LOCAL,https://www.proquest.com/newspapers/environment-groups-turn-corzine/docview/287699384/se-2?accountid=13360,PA
539,cap_and_trade,Want to help environment? Alter your habits,Nolan Perin,"Morning Call; Allentown, Pa.","Dec 28, 2009","Allentown, Pa.",A.13,News,https://www.proquest.com/newspapers/want-help-environment-alter-your-habits/docview/393361662/se-2?accountid=13360,PA
547,cap_and_trade,How the state's budget shortchanges the environment,Greg; Vitali,"Morning Call; Allentown, Pa.","Jul 10, 2019","Allentown, Pa.",A.16,,https://www.proquest.com/newspapers/how-states-budget-shortchanges-environment/docview/2254328277/se-2?accountid=13360,PA
556,cap_and_trade,CLIMATE BULLY OBAMA NEEDS TO HEED GORE ON THE ENVIRONMENT,Anonymous,"Pittsburgh Post - Gazette; Pittsburgh, Pa.","Jun 27, 2011","Pittsburgh, Pa.",B.6,EDITORIAL,https://www.proquest.com/newspapers/climate-bully-obama-needs-heed-gore-on/docview/873698472/se-2?accountid=13360,PA
561,cap_and_trade,WOODLANDS PROGRAM LETS FORESTS EARN FUNDS WHILE HELPING THE ENVIRONMENT,"Hopey, Don","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Sep 24, 2012","Pittsburgh, Pa.",A.11,STATE,https://www.proquest.com/newspapers/woodlands-program-lets-forests-earn-funds-while/docview/1069182102/se-2?accountid=13360,PA
590,cap_and_trade,Good energy policy vs. environmental extremism,"Alford, Harry","Philadelphia Tribune; Philadelphia, Pa.","Sep 22, 2009","Philadelphia, Pa.",,OP-ED,https://www.proquest.com/newspapers/good-energy-policy-vs-environmental-extremism/docview/337841562/se-2?accountid=13360,PA
603,cap_and_trade,OP-ED: Time for sensible regulations,Anonymous,"The York Dispatch; York, Pa.","Sep 13, 2011","York, Pa.",,Opinion,https://www.proquest.com/newspapers/op-ed-time-sensible-regulations/docview/889131257/se-2?accountid=13360,PA
609,cap_and_trade,WE CAN BREATHE EASIER THANKS TO BUSH 41 GEORGE H.W. BUSH MUSCLED THROUGH LANDMARK LEGISLATION TO PROTECT THE ENVIRONMENT,"Medina, Monica","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Dec 4, 2018","Pittsburgh, Pa.",WEB,EDITORIAL,https://www.proquest.com/newspapers/we-can-breathe-easier-thanks-bush-41-george-h-w/docview/2148775485/se-2?accountid=13360,PA
611,cap_and_trade,WE CAN BREATHE EASIER THANKS TO BUSH 41 GEORGE H.W. BUSH MUSCLED THROUGH LANDMARK LEGISLATION TO PROTECT THE ENVIRONMENT,"Medina, Monica","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Dec 4, 2018","Pittsburgh, Pa.",WEB,EDITORIAL,https://www.proquest.com/newspapers/we-can-breathe-easier-thanks-bush-41-george-h-w/docview/2151081809/se-2?accountid=13360,PA
645,cap_and_trade,In My Opinion Making It Harder On Employers To Create Jobs What's Your Opinion?,"Pitts, Rep Joe","Sunday News; Lancaster, Pa.","Nov 1, 2009","Lancaster, Pa.",P.1,P,https://www.proquest.com/newspapers/my-opinion-making-harder-on-employers-create-jobs/docview/306983968/se-2?accountid=13360,PA
739,cap_and_trade,Shale gas drilling benefits too great to sacrifice,"Butler, Mike","Morning Call; Allentown, Pa.","Apr 1, 2014","Allentown, Pa.",A.14,News,https://www.proquest.com/newspapers/shale-gas-drilling-benefits-too-great-sacrifice/docview/1511773347/se-2?accountid=13360,PA
768,cap_and_trade,LEADERS CAST AS BIPARTISAN AFTER ELECTION 'SHELLACKING' WASHINGTON,"Malloy, Daniel","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Nov 4, 2010","Pittsburgh, Pa.",A.1,NATIONAL,https://www.proquest.com/newspapers/leaders-cast-as-bipartisan-after-election/docview/762256775/se-2?accountid=13360,PA
886,cap_and_trade,Is global warming real?,Anonymous,"The News - Item; Shamokin, Pa.","Jan 14, 2010","Shamokin, Pa.",A.4,,https://www.proquest.com/newspapers/is-global-warming-real/docview/440947340/se-2?accountid=13360,PA
891,cap_and_trade,Tapped for cash - and CO2: A Wayne company aims to help forest owners profit from a potential demand for antipollution credits.,"Mastrull, Diane","Philadelphia Inquirer; Philadelphia, Pa.","Aug 28, 2009","Philadelphia, Pa.",D.1,BUSINESS,https://www.proquest.com/newspapers/tapped-cash-co2/docview/287700923/se-2?accountid=13360,PA
905,cap_and_trade,Climate change legislation moves forward,"Malloy, Daniel","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Nov 6, 2009","Pittsburgh, Pa.",WEB,NATIONAL,https://www.proquest.com/newspapers/climate-change-legislation-moves-forward/docview/390548969/se-2?accountid=13360,PA
928,cap_and_trade,EMISSION ALLOWANCE AUCTION FACING DELAY POSSIBLE CHANGE BY OBAMA ADMINISTRATION COULD ANGER ENVIRONMENTALISTS,"Eilperin, Juliet","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Apr 9, 2009","Pittsburgh, Pa.",A.6,NATIONAL,https://www.proquest.com/newspapers/emission-allowance-auction-facing-delay-possible/docview/390679105/se-2?accountid=13360,PA
930,cap_and_trade,Rock critic: Onorato's choices out of tune,Anonymous,"Tribune - Review / Pittsburgh Tribune - Review; Greensburg, Pa.","Oct 11, 2009","Greensburg, Pa.",,,https://www.proquest.com/newspapers/rock-critic-onoratos-choices-out-tune/docview/382293282/se-2?accountid=13360,PA
944,cap_and_trade,THE COAL INDUSTRY IS SHOWING ITS HYPOCRISY,"Joyce, Michael C","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Jul 20, 2010","Pittsburgh, Pa.",B.6,EDITORIAL,https://www.proquest.com/newspapers/coal-industry-is-showing-hypocrisy/docview/613737563/se-2?accountid=13360,PA
988,cap_and_trade,We stopped the clean power plan,"Alford, Harry C; DeBow, Kay","New Pittsburgh Courier, City Edition; Pittsburgh, Pa.","Nov 28-Dec 4, 2018","Pittsburgh, Pa.",,BUSINESS,https://www.proquest.com/newspapers/we-stopped-clean-power-plan/docview/2159215550/se-2?accountid=13360,PA
1005,cap_and_trade,Letters To The Editor - 10/21/2010,Anonymous,"The Times - Tribune; Scranton, Pa.","Oct 20, 2010","Scranton, Pa.",,Opinion,https://www.proquest.com/newspapers/letters-editor-10-21-2010/docview/759454299/se-2?accountid=13360,PA
1011,cap_and_trade,Gov. Wolf’s environmental plans need reality check,"Denlinger, Gordon","LNP; Lancaster, Pa.","May 22, 2019","Lancaster, Pa.",,Columnists,https://www.proquest.com/newspapers/gov-wolf-s-environmental-plans-need-reality-check/docview/2347905175/se-2?accountid=13360,PA
1066,cap_and_trade,Jobs at risk,,"Tribune - Review / Pittsburgh Tribune - Review; Greensburg, Pa.","Aug 7, 2014","Greensburg, Pa.",,,https://www.proquest.com/newspapers/jobs-at-risk/docview/1551829179/se-2?accountid=13360,PA
1072,cap_and_trade,Keep it simple on carbon (letter),,"York Daily Record; York, Pa.","Sep 11, 2015","York, Pa.",,Opinion,https://www.proquest.com/newspapers/keep-simple-on-carbon-letter/docview/1711145958/se-2?accountid=13360,PA
1076,cap_and_trade,Jobs at risk,,"Tribune - Review / Pittsburgh Tribune - Review; Greensburg, Pa.","Aug 8, 2014","Greensburg, Pa.",,,https://www.proquest.com/newspapers/jobs-at-risk/docview/1552099852/se-2?accountid=13360,PA
1096,cap_and_trade,Cap it,,"Tribune - Review / Pittsburgh Tribune - Review; Greensburg, Pa.","Dec 13, 2014","Greensburg, Pa.",,,https://www.proquest.com/newspapers/cap/docview/1636084812/se-2?accountid=13360,PA
1098,cap_and_trade,Cap it,,"Tribune - Review / Pittsburgh Tribune - Review; Greensburg, Pa.","Dec 12, 2014","Greensburg, Pa.",,,https://www.proquest.com/newspapers/cap/docview/1635484936/se-2?accountid=13360,PA
1122,cap_and_trade,Time To Reduce Greenhouse Gases,Anonymous,"Intelligencer Journal / Lancaster New Era; Lancaster, Pa.","Aug 12, 2009","Lancaster, Pa.",A.9,A,https://www.proquest.com/newspapers/time-reduce-greenhouse-gases/docview/244057383/se-2?accountid=13360,PA
1123,cap_and_trade,Toxic Mercury ** Federal court vindicates Pennsylvania for insistance on tougher air pollution rules,Anonymous,"Morning Call; Allentown, Pa.","Feb 13, 2008","Allentown, Pa.",A.10,Opinion,https://www.proquest.com/newspapers/toxic-mercury-federal-court-vindicates/docview/393289957/se-2?accountid=13360,PA
1125,cap_and_trade,Capping critics,Anonymous,"Tribune - Review / Pittsburgh Tribune - Review; Greensburg, Pa.","Jun 18, 2009","Greensburg, Pa.",,,https://www.proquest.com/newspapers/capping-critics/docview/382330114/se-2?accountid=13360,PA
1137,cap_and_trade,"MCCAIN ACKNOWLEDGES GLOBAL WARMING IN OREGON STUMPING, HE SAYS HE WILL LEAD A FREE-MARKET CHARGE TO SOLVE PROBLEM","Johnson, Glen","Pittsburgh Post - Gazette; Pittsburgh, Pa.","May 13, 2008","Pittsburgh, Pa.",A.4,NATIONAL,https://www.proquest.com/newspapers/mccain-acknowledges-global-warming-oregon/docview/390496264/se-2?accountid=13360,PA
1141,cap_and_trade,AN AFFORDABLE SALVATION CONFRONTING CLIMATE CHANGE IS TOO EXPENSIVE? NO WAY.,"Krugman, Paul","Pittsburgh Post - Gazette; Pittsburgh, Pa.","May 2, 2009","Pittsburgh, Pa.",A.13,EDITORIAL,https://www.proquest.com/newspapers/affordable-salvation-confronting-climate-change/docview/390680470/se-2?accountid=13360,PA
1178,cap_and_trade,SENSIBLE APPROACH,"GIBSON President, THOMAS J; CEO American Iron; Steel Institute Washington","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Jul 1, 2009","Pittsburgh, Pa.",B.6,EDITORIAL,https://www.proquest.com/newspapers/sensible-approach/docview/390548345/se-2?accountid=13360,PA
1182,cap_and_trade,SENATE PANEL UNVEILS CLIMATE GOALS,"Eilperin, Juliet","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Feb 4, 2009","Pittsburgh, Pa.",A.4,NATIONAL,https://www.proquest.com/newspapers/senate-panel-unveils-climate-goals/docview/390663384/se-2?accountid=13360,PA
1189,cap_and_trade,Pennsylvania and 14 other states scored a major victory for environmental... [Derived headline],Anonymous,"Republican & Herald; Pottsville, Pa.","Feb 11, 2008","Pottsville, Pa.",A.10,,https://www.proquest.com/newspapers/pennsylvania-14-other-states-scored-major-victory/docview/251143439/se-2?accountid=13360,PA
1211,cap_and_trade,CLIMATE ACTION: [SOONER Edition],"Hoeflich, Scott","Pittsburgh Post - Gazette; Pittsburgh, Pa.","May 3, 2007","Pittsburgh, Pa.",,EDITORIAL,https://www.proquest.com/newspapers/climate-action/docview/390610429/se-2?accountid=13360,PA
1237,cap_and_trade,BUSH EXPECTED TO PRESS RETOOLING OF AIR QUALITY LAWS ENVIRONMENTALISTS FEAR CHANGES WOULD UNDERCUT STANDARDS: [SOONER Edition],"Eilperin, Juliet","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Dec 15, 2004","Pittsburgh, Pa.",,NATIONAL,https://www.proquest.com/newspapers/bush-expected-press-retooling-air-quality-laws/docview/391965323/se-2?accountid=13360,PA
1244,cap_and_trade,Regulate mercury,Anonymous,"Citizens' Voice; Wilkes-Barre, Pa.","Feb 16, 2008","Wilkes-Barre, Pa.",T.18,,https://www.proquest.com/newspapers/regulate-mercury/docview/346844432/se-2?accountid=13360,PA
1280,cap_and_trade,Ex-EPA chief Whitman at Pittsburgh conference: Politics slows green progress,"Napsha, Joe","Tribune - Review / Pittsburgh Tribune - Review; Greensburg, Pa.","Jun 29, 2007","Greensburg, Pa.",,,https://www.proquest.com/newspapers/ex-epa-chief-whitman-at-pittsburgh-conference/docview/382499808/se-2?accountid=13360,PA
1282,cap_and_trade,Ex-EPA chief Whitman at Pittsburgh conference: Politics slows green progress,"Napsha, Joe","Tribune - Review / Pittsburgh Tribune - Review; Greensburg, Pa.","Jun 28, 2007","Greensburg, Pa.",,,https://www.proquest.com/newspapers/ex-epa-chief-whitman-at-pittsburgh-conference/docview/382498789/se-2?accountid=13360,PA
1289,cap_and_trade,"SESTAK, TOOMEY ON OPPOSITE SIDES OF ENERGY DEBATE","McNulty, Timothy; O'Toole, James","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Jun 14, 2010","Pittsburgh, Pa.",A.1,LOCAL,https://www.proquest.com/newspapers/sestak-toomey-on-opposite-sides-energy-debate/docview/375344256/se-2?accountid=13360,PA
1300,cap_and_trade,CLIMATE PLAN COULD BE A TOUGH SELL OBAMA PLEDGE TO WORLD LEADERS IN COPENHAGEN MIGHT NOT SIT WELL WITH SENATE,"Eilperin, Juliet","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Dec 26, 2009","Pittsburgh, Pa.",A.14,NATIONAL,https://www.proquest.com/newspapers/climate-plan-could-be-tough-sell-obama-pledge/docview/390596455/se-2?accountid=13360,PA
1329,cap_and_trade,Bill Shuster: In place since '01,Public Opinion Online,"Public Opinion; Chambersburg, Pa.","Oct 23, 2010","Chambersburg, Pa.",,Local,https://www.proquest.com/newspapers/bill-shuster-place-since-01/docview/759665080/se-2?accountid=13360,PA
1332,cap_and_trade,"CLIMATE BILL GETS COOL PA. REACTION SPECTER, CASEY SAY IT DOESN'T ADDRESS CONCERNS","Malloy, Daniel","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Oct 1, 2009","Pittsburgh, Pa.",A.1,NATIONAL,https://www.proquest.com/newspapers/climate-bill-gets-cool-pa-reaction-specter-casey/docview/390655529/se-2?accountid=13360,PA
1352,cap_and_trade,Derk visits Towanda,"Loewenstein, James","Daily Review; Towanda, Pa.","Apr 29, 2010","Towanda, Pa.",A.1,,https://www.proquest.com/newspapers/derk-visits-towanda/docview/205436341/se-2?accountid=13360,PA
1357,cap_and_trade,"Toomey eager to roll up sleeves, take on problems","Zito, Salena","Tribune - Review / Pittsburgh Tribune - Review; Greensburg, Pa.","Jan 5, 2011","Greensburg, Pa.",,,https://www.proquest.com/newspapers/toomey-eager-roll-up-sleeves-take-on-problems/docview/822482256/se-2?accountid=13360,PA
1362,cap_and_trade,Candidates for Congress discuss issues in Towanda,"Loewenstein, James","Daily Review; Towanda, Pa.","Apr 18, 2010","Towanda, Pa.",A.1,,https://www.proquest.com/newspapers/candidates-congress-discuss-issues-towanda/docview/440973539/se-2?accountid=13360,PA
1399,cap_and_trade,EPA EX-CHIEF PREDICTS U.S. WILL CURB EMISSIONS: [REGION Edition],Don Hopey Pittsburgh Post-Gazette,"Pittsburgh Post - Gazette; Pittsburgh, Pa.","Jun 29, 2007","Pittsburgh, Pa.",,HEALTH SCIENCE MEDICINE And TECHNOLOGY,https://www.proquest.com/newspapers/epa-ex-chief-predicts-u-s-will-curb-emissions/docview/390546397/se-2?accountid=13360,PA
1409,cap_and_trade,Jump start needed for revival of nuclear power,Anonymous,"The News - Item; Shamokin, Pa.","Feb 3, 2010","Shamokin, Pa.",A.4,,https://www.proquest.com/newspapers/jump-start-needed-revival-nuclear-power/docview/440948226/se-2?accountid=13360,PA
1415,cap_and_trade,Restart nukes,Anonymous,"The Times - Tribune; Scranton, Pa.","Feb 2, 2010","Scranton, Pa.",A.8,,https://www.proquest.com/newspapers/restart-nukes/docview/399175742/se-2?accountid=13360,PA
1417,cap_and_trade,Don't ignore nuclear power,Anonymous,"Republican & Herald; Pottsville, Pa.","Feb 3, 2010","Pottsville, Pa.",A.10,,https://www.proquest.com/newspapers/dont-ignore-nuclear-power/docview/440910389/se-2?accountid=13360,PA
1443,cap_and_trade,MERCURY MADNESS PUTTING SPECIAL INTERESTS OVER THE PUBLIC INTEREST: [REGION Edition],,"Pittsburgh Post - Gazette; Pittsburgh, Pa.","Jun 23, 2006","Pittsburgh, Pa.",,EDITORIAL,https://www.proquest.com/newspapers/mercury-madness-putting-special-interests-over/docview/390921615/se-2?accountid=13360,PA
1505,cap_and_trade,STATE TOUGHENS RULES TO REDUCE MERCURY OUTPUT OF POWER PLANTS: [SOONER Edition],"Hopey, Don","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Oct 18, 2006","Pittsburgh, Pa.",,STATE,https://www.proquest.com/newspapers/state-toughens-rules-reduce-mercury-output-power/docview/390785357/se-2?accountid=13360,PA
1517,cap_and_trade,"Raise gas taxes, reap great rewards","Salzman, Randy","Tribune - Review / Pittsburgh Tribune - Review; Greensburg, Pa.","Jul 1, 2007","Greensburg, Pa.",,,https://www.proquest.com/newspapers/raise-gas-taxes-reap-great-rewards/docview/382496495/se-2?accountid=13360,PA
1522,cap_and_trade,"FOUL LAKES, TOXIC FISH STUDY FINDS ELEVATED MERCURY LEVELS IN PA. STUDY FINDS ELEVATED MERCURY LEVELS IN PA.: [REGION Edition]",DON HOPEY PITTSBURGH POST-GAZETTE,"Pittsburgh Post - Gazette; Pittsburgh, Pa.","Aug 4, 2004","Pittsburgh, Pa.",,STATE,https://www.proquest.com/newspapers/foul-lakes-toxic-fish-study-finds-elevated/docview/391058661/se-2?accountid=13360,PA
1580,cap_and_trade,DEAR PITTSBURGH: TURN OFF THE LIGHTS BUILDING OWNERS COULD EASILY REDUCE THEIR ENERGY USE WHILE SAVING MONEY AND HELPING THE PLANET,"Martin, Lauralee; Lubber, Mindy","Pittsburgh Post - Gazette; Pittsburgh, Pa.","Oct 4, 2009","Pittsburgh, Pa.",B.1,EDITORIAL,https://www.proquest.com/newspapers/dear-pittsburgh-turn-off-lights-building-owners/docview/390577816/se-2?accountid=13360,PA
1641,cap_and_trade,A climate of suspicion,,"Tribune - Review / Pittsburgh Tribune - Review; Greensburg, Pa.","Jan 1, 2012","Greensburg, Pa.",,,https://www.proquest.com/newspapers/climate-suspicion/docview/913207665/se-2?accountid=13360,PA
1657,cap_and_trade,"BUSH LOOKS TO RESHAPE POWER-PLANT RULES ADMINISTRATION BACKS MARKET INCENTIVES TO REDUCE SMOG, ACID RAIN: [REGION Edition]",Miguel Bustillo Los Angeles Times,"Pittsburgh Post - Gazette; Pittsburgh, Pa.","Mar 6, 2005","Pittsburgh, Pa.",,NATIONAL,https://www.proquest.com/newspapers/bush-looks-reshape-power-plant-rules/docview/390954328/se-2?accountid=13360,PA
