,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
612,cap_and_trade,Are the EPA's mercury claims legit? ; Agency set on neglecting our children and the environment: [Chicago Final Edition],Lee Francis Lee Francis is a general internist in Chicago and a past president of Physicians for Social Responsibility,"Chicago Tribune; Chicago, Ill.","Feb 27, 2004","Chicago, Ill.",,Commentary,https://www.proquest.com/newspapers/are-epas-mercury-claims-legit-agency-set-on/docview/420096008/se-2?accountid=13360,IL
667,cap_and_trade,Put Congress back in charge of carbon regulation,Anonymous,"Daily Herald; Arlington Heights, Ill.","Dec 15, 2009","Arlington Heights, Ill.",8,NEWS,https://www.proquest.com/newspapers/put-congress-back-charge-carbon-regulation/docview/313539632/se-2?accountid=13360,IL
763,cap_and_trade,Senate drafts climate bill,"Tankersley, Jim","Chicago Tribune; Chicago, Ill.","Sep 30, 2009","Chicago, Ill.",,News,https://www.proquest.com/newspapers/senate-drafts-climate-bill/docview/420928637/se-2?accountid=13360,IL
772,cap_and_trade,Consider climate bill despite costs,Anonymous,"Daily Herald; Arlington Heights, Ill.","Jun 11, 2009","Arlington Heights, Ill.",14,NEWS,https://www.proquest.com/newspapers/consider-climate-bill-despite-costs/docview/313433177/se-2?accountid=13360,IL
816,cap_and_trade,Kirk loses keyallies,Joseph Ryan Politics; Projects Editorjryan@dailyherald.com,"Daily Herald; Arlington Heights, Ill.","Dec 6, 2009","Arlington Heights, Ill.",1,NEWS,https://www.proquest.com/newspapers/kirk-loses-keyallies/docview/313543200/se-2?accountid=13360,IL
1079,cap_and_trade,"Climate changing for pollution pacts: As presidential candidates voice support for fighting global warming with futures contracts, leading exchanges push to take market share from rivals","Boak, Joshua","Chicago Tribune; Chicago, Ill.","Mar 23, 2008","Chicago, Ill.",,Business,https://www.proquest.com/newspapers/climate-changing-pollution-pacts/docview/420734759/se-2?accountid=13360,IL
1153,cap_and_trade,Contracts for carbon still sticky,"Burns, Greg","Chicago Tribune; Chicago, Ill.","Dec 1, 2008","Chicago, Ill.",,News,https://www.proquest.com/newspapers/contracts-carbon-still-sticky/docview/420797618/se-2?accountid=13360,IL
1353,cap_and_trade,"Why are Obama, BP so closely aligned?",Anonymous,"News Gazette; Champaign, Ill.","Jun 25, 2010","Champaign, Ill.",A.6,,https://www.proquest.com/newspapers/why-are-obama-bp-so-closely-aligned/docview/578487210/se-2?accountid=13360,IL
1410,cap_and_trade,Murky forecast for Clear Skies: [Chicago Final Edition],,"Chicago Tribune; Chicago, Ill.","Mar 9, 2005","Chicago, Ill.",,Editorial,https://www.proquest.com/newspapers/murky-forecast-clear-skies/docview/420192899/se-2?accountid=13360,IL
1420,cap_and_trade,Kirk: A military man touts his experience,"Lester, Kerry","Daily Herald; Arlington Heights, Ill.","Nov 1, 2010","Arlington Heights, Ill.",1,NEWS,https://www.proquest.com/newspapers/kirk-military-man-touts-his-experience/docview/761365265/se-2?accountid=13360,IL
1520,cap_and_trade,"Think outside the 'big box,' Wheaton",Anonymous,"Daily Herald; Arlington Heights, Ill.","Aug 11, 2010","Arlington Heights, Ill.",22,NEWS,https://www.proquest.com/newspapers/think-outside-big-box-wheaton/docview/744211785/se-2?accountid=13360,IL
1546,cap_and_trade,Experts: It'll take sacrifices to fight global warming,"THILMONY, MEG","News Gazette; Champaign, Ill.","Oct 23, 2008","Champaign, Ill.",A.7,,https://www.proquest.com/newspapers/experts-itll-take-sacrifices-fight-global-warming/docview/332975530/se-2?accountid=13360,IL
1555,cap_and_trade,Voter's guide to Tuesday's election,Anonymous,"Chicago Tribune; Chicago, Ill.","Oct 31, 2010","Chicago, Ill.",,News,https://www.proquest.com/newspapers/voters-guide-tuesdays-election/docview/761210548/se-2?accountid=13360,IL
1597,cap_and_trade,"Jobs, good health not mutually exclusive",Anonymous,"Daily Herald; Arlington Heights, Ill.","Sep 8, 2011","Arlington Heights, Ill.",12,NEWS,https://www.proquest.com/newspapers/jobs-good-health-not-mutually-exclusive/docview/888198556/se-2?accountid=13360,IL
1624,cap_and_trade,Fence Post,Anonymous,"Daily Herald; Arlington Heights, Ill.","Nov 24, 2009","Arlington Heights, Ill.",10,NEWS,https://www.proquest.com/newspapers/fence-post/docview/313482959/se-2?accountid=13360,IL
1695,cap_and_trade,Democrats find beachhead against strong GOP wave: Some in House have strategy that may contain rivals' gains,"Oliphant, James","Chicago Tribune; Chicago, Ill.","Oct 10, 2010","Chicago, Ill.",,News,https://www.proquest.com/newspapers/democrats-find-beachhead-against-strong-gop-wave/docview/757093915/se-2?accountid=13360,IL
1897,cap_and_trade,"Market attack on global warming ; Carbon dioxide caps may help trim output: [Chicagoland Final , CN Edition]","Foss, Brad","Chicago Tribune; Chicago, Ill.","Feb 14, 2005","Chicago, Ill.",,Business,https://www.proquest.com/newspapers/market-attack-on-global-warming-carbon-dioxide/docview/420329805/se-2?accountid=13360,IL
1898,cap_and_trade,Industry seeks a seat at D.C. climate talks: Some firms hope to make cap-trade plan work for them,"Tankersley, Jim","Chicago Tribune; Chicago, Ill.","May 17, 2009","Chicago, Ill.",,News,https://www.proquest.com/newspapers/industry-seeks-seat-at-d-c-climate-talks/docview/420793564/se-2?accountid=13360,IL
1924,cap_and_trade,"Big business to buy, sell greenhouse gas credits: [North Sports Final Edition]","Deardorff, Julie","Chicago Tribune; Chicago, Ill.","Jan 17, 2003","Chicago, Ill.",,News,https://www.proquest.com/newspapers/big-business-buy-sell-greenhouse-gas-credits/docview/419817760/se-2?accountid=13360,IL
1949,cap_and_trade,The new socialism operates on global scale,"Krauthammer, Charles","Chicago Tribune; Chicago, Ill.","Dec 14, 2009","Chicago, Ill.",,News,https://www.proquest.com/newspapers/new-socialism-operates-on-global-scale/docview/420898103/se-2?accountid=13360,IL
1970,cap_and_trade,Climate focus should be on clean energy,"Wilson, Marie","Daily Herald; Arlington Heights, Ill.","Jan 10, 2018","Arlington Heights, Ill.",4,NEWS,https://www.proquest.com/newspapers/climate-focus-should-be-on-clean-energy/docview/1986465416/se-2?accountid=13360,IL
1987,cap_and_trade,Climate focus should be on clean energy,"Wilson, Marie","Daily Herald; Arlington Heights, Ill.","Jan 10, 2018","Arlington Heights, Ill.",4,NEWS,https://www.proquest.com/newspapers/climate-focus-should-be-on-clean-energy/docview/1986468658/se-2?accountid=13360,IL
1989,cap_and_trade,Climate focus should be on clean energy,"Wilson, Marie","Daily Herald; Arlington Heights, Ill.","Jan 10, 2018","Arlington Heights, Ill.",4,NEWS,https://www.proquest.com/newspapers/climate-focus-should-be-on-clean-energy/docview/1986451725/se-2?accountid=13360,IL
2039,cap_and_trade,Need a new carbon tax to fight warming: [All Edition],,"News Gazette; Champaign, Ill.","Aug 2, 2007","Champaign, Ill.",,,https://www.proquest.com/newspapers/need-new-carbon-tax-fight-warming/docview/332922138/se-2?accountid=13360,IL
2127,cap_and_trade,Raising price of climate pollution,"Cappiello, Dina; Carvin, Eric","Chicago Tribune; Chicago, Ill.","Jun 26, 2009","Chicago, Ill.",,News,https://www.proquest.com/newspapers/raising-price-climate-pollution/docview/420797136/se-2?accountid=13360,IL
2135,cap_and_trade,Your Views,Anonymous,"Pantagraph; Bloomington, Ill.","Oct 11, 2009","Bloomington, Ill.",E.4,Opinion,https://www.proquest.com/newspapers/your-views/docview/252757992/se-2?accountid=13360,IL
2145,cap_and_trade,A modest start on warming: [Chicagoland Final Edition],,"Chicago Tribune; Chicago, Ill.","Jan 26, 2003","Chicago, Ill.",,Editorial,https://www.proquest.com/newspapers/modest-start-on-warming/docview/419698227/se-2?accountid=13360,IL
2187,cap_and_trade,"On climate, a pattern of consensus emerges: Progress slow, but talks underscore a growing global will","Goering, Laurie","Chicago Tribune; Chicago, Ill.","Dec 14, 2008","Chicago, Ill.",,News,https://www.proquest.com/newspapers/on-climate-pattern-consensus-emerges/docview/420737142/se-2?accountid=13360,IL
2192,cap_and_trade,Seminar series to focus on bioenergy topics,Anonymous,"News Gazette; Champaign, Ill.","Feb 12, 2010","Champaign, Ill.",D.1,,https://www.proquest.com/newspapers/seminar-series-focus-on-bioenergy-topics/docview/333032706/se-2?accountid=13360,IL
2220,cap_and_trade,"McCain rips Bush record on warming: Too little, too late, say Democrats","Tankersley, Jim","Chicago Tribune; Chicago, Ill.","May 13, 2008","Chicago, Ill.",,News,https://www.proquest.com/newspapers/mccain-rips-bush-record-on-warming/docview/420644215/se-2?accountid=13360,IL
2332,cap_and_trade,"California emissions law inspires Illinois: [Chicagoland Final , CN Edition]","Michael Martinez, Tribune national correspondent","Chicago Tribune; Chicago, Ill.","Feb 12, 2007","Chicago, Ill.",,News,https://www.proquest.com/newspapers/california-emissions-law-inspires-illinois/docview/418001093/se-2?accountid=13360,IL
2374,cap_and_trade,"Obama climate goals, policy reflect a change: Planned curb on emissions part of lower-key strategy","Hennessey, Kathleen","Chicago Tribune; Chicago, Ill.","Jun 1, 2014","Chicago, Ill.",,News,https://www.proquest.com/newspapers/obama-climate-goals-policy-reflect-change/docview/1530766736/se-2?accountid=13360,IL
2396,cap_and_trade,"California emissions law inspires Illinois: [Chicagoland Final , CN Edition 1]","Michael Martinez, Tribune national correspondent","Chicago Tribune; Chicago, Ill.","Feb 12, 2007","Chicago, Ill.",,News,https://www.proquest.com/newspapers/california-emissions-law-inspires-illinois/docview/417991843/se-2?accountid=13360,IL
2404,cap_and_trade,Fence Post,Anonymous,"Daily Herald; Arlington Heights, Ill.","Dec 5, 2008","Arlington Heights, Ill.",16,NEWS,https://www.proquest.com/newspapers/fence-post/docview/313418370/se-2?accountid=13360,IL
2407,cap_and_trade,Fence Post,Anonymous,"Daily Herald; Arlington Heights, Ill.","Feb 6, 2010","Arlington Heights, Ill.",10,NEWS,https://www.proquest.com/newspapers/fence-post/docview/313557701/se-2?accountid=13360,IL
2615,cap_and_trade,Fence Post,Anonymous,"Daily Herald; Arlington Heights, Ill.","Jul 5, 2009","Arlington Heights, Ill.",16,NEWS,https://www.proquest.com/newspapers/fence-post/docview/313445935/se-2?accountid=13360,IL
2634,cap_and_trade,Change gets green light: His plans for environmental legislation may have big impact,"Hawthorne, Michael","Chicago Tribune; Chicago, Ill.","Nov 19, 2008","Chicago, Ill.",,News,https://www.proquest.com/newspapers/change-gets-green-light/docview/420808966/se-2?accountid=13360,IL
2712,cap_and_trade,Good news: Economy could have been worse,Anonymous,"News Gazette; Champaign, Ill.","Jul 3, 2009","Champaign, Ill.",A.8,,https://www.proquest.com/newspapers/good-news-economy-could-have-been-worse/docview/332923412/se-2?accountid=13360,IL
2919,cap_and_trade,Even small energy investments can go a distance,"Greising, David","Chicago Tribune; Chicago, Ill.","Sep 4, 2009","Chicago, Ill.",,News,https://www.proquest.com/newspapers/even-small-energy-investments-can-go-distance/docview/420835511/se-2?accountid=13360,IL
2975,cap_and_trade,High hopes for climate bill: Bipartisan plan emerges with industry backing,"Tankersley, Jim","Chicago Tribune; Chicago, Ill.","Apr 25, 2010","Chicago, Ill.",,News,https://www.proquest.com/newspapers/high-hopes-climate-bill/docview/420920884/se-2?accountid=13360,IL
2999,cap_and_trade,Your Views,Anonymous,"Pantagraph; Bloomington, Ill.","Nov 22, 2009","Bloomington, Ill.",C.5,Opinion,https://www.proquest.com/newspapers/your-views/docview/252765537/se-2?accountid=13360,IL
3000,cap_and_trade,The battle over clean air: [North Sports Final Edition],,"Chicago Tribune; Chicago, Ill.","Dec 27, 2002","Chicago, Ill.",,Editorial,https://www.proquest.com/newspapers/battle-over-clean-air/docview/419564127/se-2?accountid=13360,IL
3042,cap_and_trade,"Sente, May are part of the status quo",Anonymous,"Daily Herald; Arlington Heights, Ill.","Oct 16, 2010","Arlington Heights, Ill.",14,NEWS,https://www.proquest.com/newspapers/sente-may-are-part-status-quo/docview/759485366/se-2?accountid=13360,IL
3043,cap_and_trade,Taking climate legislation to the Hill ; 4 major bills battle for Congress' support: [Chicago Final Edition],"Demirjian, Karoun","Chicago Tribune; Chicago, Ill.","Mar 8, 2007","Chicago, Ill.",,News,https://www.proquest.com/newspapers/taking-climate-legislation-hill-4-major-bills/docview/420575248/se-2?accountid=13360,IL
3081,cap_and_trade,"Coal plants spew more mercury ; Emissions grow in Illinois, nation despite drop in other pollutants: [Chicago Final Edition]","Hawthorne, Michael","Chicago Tribune; Chicago, Ill.","Apr 29, 2006","Chicago, Ill.",,News,https://www.proquest.com/newspapers/coal-plants-spew-more-mercury-emissions-grow/docview/420423500/se-2?accountid=13360,IL
3083,cap_and_trade,Fence Post,Anonymous,"Daily Herald; Arlington Heights, Ill.","Aug 8, 2009","Arlington Heights, Ill.",8,NEWS,https://www.proquest.com/newspapers/fence-post/docview/313441775/se-2?accountid=13360,IL
3138,cap_and_trade,Lobbying rises; talk isn't cheap,"Harris, Melissa","Chicago Tribune; Chicago, Ill.","Mar 7, 2010","Chicago, Ill.",,Business,https://www.proquest.com/newspapers/lobbying-rises-talk-isnt-cheap/docview/420664901/se-2?accountid=13360,IL
3212,cap_and_trade,"How Obama can rebound: Though well-liked, president must deliver more in second year","Nicholas, Peter","Chicago Tribune; Chicago, Ill.","Jan 19, 2010","Chicago, Ill.",,News,https://www.proquest.com/newspapers/how-obama-can-rebound/docview/420811026/se-2?accountid=13360,IL
3260,cap_and_trade,"[ Fence Post ]: [F1,F2,F3,M1 Edition 7]",,"Daily Herald; Arlington Heights, Ill.","Jul 18, 2002","Arlington Heights, Ill.",,NEWS,https://www.proquest.com/newspapers/fence-post/docview/312665231/se-2?accountid=13360,IL
3279,cap_and_trade,Obama administration mishandling energy issues,,"News Gazette; Champaign, Ill.","Sep 8, 2012","Champaign, Ill.",A.6,,https://www.proquest.com/newspapers/obama-administration-mishandling-energy-issues/docview/1112383775/se-2?accountid=13360,IL
3296,cap_and_trade,Each aims for his first victory,"KACICH, TOM","News Gazette; Champaign, Ill.","Oct 21, 2012","Champaign, Ill.",A.1,,https://www.proquest.com/newspapers/each-aims-his-first-victory/docview/1178857969/se-2?accountid=13360,IL
3381,cap_and_trade,"Climate bill built of D.C. deals: Support was garnered with key concessions to farmers, coal industry","Tankersley, Jim","Chicago Tribune; Chicago, Ill.","Jun 28, 2009","Chicago, Ill.",,News,https://www.proquest.com/newspapers/climate-bill-built-d-c-deals/docview/420876712/se-2?accountid=13360,IL
3486,cap_and_trade,Battle for climate bill heats up: Obama says lawmakers must maintain drive on environmental effort,"Tankersley, Jim","Chicago Tribune; Chicago, Ill.","Jul 5, 2009","Chicago, Ill.",,News,https://www.proquest.com/newspapers/battle-climate-bill-heats-up/docview/420783992/se-2?accountid=13360,IL
3503,cap_and_trade,Fence Post,Anonymous,"Daily Herald; Arlington Heights, Ill.","Jul 3, 2010","Arlington Heights, Ill.",10,NEWS,https://www.proquest.com/newspapers/fence-post/docview/578128840/se-2?accountid=13360,IL
3577,cap_and_trade,"New crackdown targets mercury's stubborn legacy ; Multipurpose, lethal metal still pervades the nation's streams, seafood and autos: [Sports Final , CN Edition]","Stevenson Swanson, Tribune national correspondent","Chicago Tribune; Chicago, Ill.","Oct 28, 2002","Chicago, Ill.",,News,https://www.proquest.com/newspapers/new-crackdown-targets-mercurys-stubborn-legacy/docview/419852688/se-2?accountid=13360,IL
3644,cap_and_trade,Governor fires up attack on emissions; Vow to go 'green' comes amid push for coal use: [Chicagoland Final Edition],"Hawthorne, Michael","Chicago Tribune; Chicago, Ill.","Sep 30, 2007","Chicago, Ill.",,News,https://www.proquest.com/newspapers/governor-fires-up-attack-on-emissions-vow-go/docview/420597434/se-2?accountid=13360,IL
3764,cap_and_trade,Big money buying ads against Gill,,"News Gazette; Champaign, Ill.","Oct 14, 2012","Champaign, Ill.",C.3,,https://www.proquest.com/newspapers/big-money-buying-ads-against-gill/docview/1151976655/se-2?accountid=13360,IL
3776,cap_and_trade,"IVORY TOWER OF POWER: We know Obama the politician, Obama the communicator, even Obama the basketball player. But Obama the intellectual remains opaque. We know he?s smart. Some of his former colleagues at the University of Chicago have an idea.","Hundley, Tom","Chicago Tribune; Chicago, Ill.","Mar 22, 2009","Chicago, Ill.",,Magazine,https://www.proquest.com/newspapers/ivory-tower-power/docview/420797114/se-2?accountid=13360,IL
3855,cap_and_trade,World is far from a climate for change,Anonymous,"Daily Herald; Arlington Heights, Ill.","Nov 8, 2009","Arlington Heights, Ill.",16,NEWS,https://www.proquest.com/newspapers/world-is-far-climate-change/docview/313502819/se-2?accountid=13360,IL
3862,cap_and_trade,"Reducing air pollution by a record amount: [Chicagoland Final , CN Edition]","Jeff Holmstead, Assistant administrator, Office of Air and Radiation, US Environmental Protection Agency","Chicago Tribune; Chicago, Ill.","Feb 21, 2005","Chicago, Ill.",,Commentary,https://www.proquest.com/newspapers/reducing-air-pollution-record-amount/docview/420253582/se-2?accountid=13360,IL
3893,cap_and_trade,Six counties in 60 seconds,Anonymous,"Daily Herald; Arlington Heights, Ill.","Aug 26, 2010","Arlington Heights, Ill.",11,NEWS,https://www.proquest.com/newspapers/six-counties-60-seconds/docview/747423413/se-2?accountid=13360,IL
3999,cap_and_trade,Recycling robots,"Pyke, Marni","Daily Herald; Arlington Heights, Ill.","Jan 20, 2016","Arlington Heights, Ill.",3,NEIGHBOR,https://www.proquest.com/newspapers/recycling-robots/docview/1758713332/se-2?accountid=13360,IL
4042,cap_and_trade,"As trees burn, tribes' cash goes up in smoke: Wash. reservation sold carbon credits to oil giant BP","Yardley, William","Chicago Tribune; Chicago, Ill.","Aug 27, 2015","Chicago, Ill.",,News,https://www.proquest.com/newspapers/as-trees-burn-tribes-cash-goes-up-smoke/docview/1707501067/se-2?accountid=13360,IL
4193,cap_and_trade,"Gore, Pritzker make SXSW: Ex-VP calls for punishment of climate deniers","Carpenter, John; Blue Sky reporter","Chicago Tribune; Chicago, Ill.","Mar 14, 2015","Chicago, Ill.",,News,https://www.proquest.com/newspapers/gore-pritzker-make-sxsw/docview/1663320103/se-2?accountid=13360,IL
4214,cap_and_trade,Obama's secret plan: Governing by regulation,Anonymous,"Chicago Tribune; Chicago, Ill.","Jan 3, 2011","Chicago, Ill.",,News,https://www.proquest.com/newspapers/obamas-secret-plan-governing-regulation/docview/821953546/se-2?accountid=13360,IL
4217,cap_and_trade,State should fix feds' backward step on mercury: [Chicago Final Edition],"Deardorff, Julie","Chicago Tribune; Chicago, Ill.","Jun 19, 2005","Chicago, Ill.",,Q,https://www.proquest.com/newspapers/state-should-fix-feds-backward-step-on-mercury/docview/420376211/se-2?accountid=13360,IL
4264,cap_and_trade,"Obama's EPA trying to kill coal, raise your electric bill","Shimkus, John","News Gazette; Champaign, Ill.","Sep 29, 2013","Champaign, Ill.",C.2,,https://www.proquest.com/newspapers/obamas-epa-trying-kill-coal-raise-your-electric/docview/1460150027/se-2?accountid=13360,IL
4281,cap_and_trade,Kirk clarifies climate change view: Energy publication had quoted him on 'political correctness',"Skiba, Katherine","Chicago Tribune; Chicago, Ill.","Jan 9, 2015","Chicago, Ill.",,News,https://www.proquest.com/newspapers/kirk-clarifies-climate-change-view/docview/1643370306/se-2?accountid=13360,IL
4308,cap_and_trade,Adding to executive overreach annals,"Krauthammer, Charles","Chicago Tribune; Chicago, Ill.","Aug 9, 2010","Chicago, Ill.",,News,https://www.proquest.com/newspapers/adding-executive-overreach-annals/docview/740331242/se-2?accountid=13360,IL
4315,cap_and_trade,Democrats signal green shift,Associated Press,"Daily Herald; Arlington Heights, Ill.","Nov 21, 2008","Arlington Heights, Ill.",14,NEWS,https://www.proquest.com/newspapers/democrats-signal-green-shift/docview/313357459/se-2?accountid=13360,IL
4334,cap_and_trade,Romney and Obama: A contrast in styles,,"Chicago Tribune; Chicago, Ill.","Apr 6, 2012","Chicago, Ill.",,News,https://www.proquest.com/newspapers/romney-obama-contrast-styles/docview/967978645/se-2?accountid=13360,IL
4403,cap_and_trade,Congress should resist using lame-duck loophole,"Krauthammer, Charles","Chicago Tribune; Chicago, Ill.","Jul 26, 2010","Chicago, Ill.",,News,https://www.proquest.com/newspapers/congress-should-resist-using-lame-duck-loophole/docview/698166454/se-2?accountid=13360,IL
4429,cap_and_trade,McCain: 'I've been tested': GOP nominee touts experience in final dash across 7 states,"Zuckman, Jill; George, Jason","Chicago Tribune; Chicago, Ill.","Nov 4, 2008","Chicago, Ill.",,News,https://www.proquest.com/newspapers/mccain-ive-been-tested/docview/420791653/se-2?accountid=13360,IL
4481,cap_and_trade,"Lego 'Trash Trek' challenge aims to inspire, excite kids","Pyke, Marni","Daily Herald; Arlington Heights, Ill.","Jan 17, 2016","Arlington Heights, Ill.",3,NEWS,https://www.proquest.com/newspapers/lego-trash-trek-challenge-aims-inspire-excite/docview/1757790515/se-2?accountid=13360,IL
4521,cap_and_trade,Green - in more than one way,"Bauer, Steve","News Gazette; Champaign, Ill.","Jan 20, 2009","Champaign, Ill.",E.7,,https://www.proquest.com/newspapers/green-more-than-one-way/docview/332959322/se-2?accountid=13360,IL
4549,cap_and_trade,VOICE OF THE PEOPLE,,"Chicago Tribune; Chicago, Ill.","Nov 29, 2018","Chicago, Ill.",18,News,https://www.proquest.com/newspapers/voice-people/docview/2139010151/se-2?accountid=13360,IL
4583,cap_and_trade,Electric cars are a politically passable solution,Anonymous,"Daily Herald; Arlington Heights, Ill.","Jun 23, 2010","Arlington Heights, Ill.",20,NEWS,https://www.proquest.com/newspapers/electric-cars-are-politically-passable-solution/docview/516310363/se-2?accountid=13360,IL
4604,cap_and_trade,Environmental disaster for GOP,"Chapman, Steve","Chicago Tribune; Chicago, Ill.","Sep 27, 2012","Chicago, Ill.",,News,https://www.proquest.com/newspapers/environmental-disaster-gop/docview/1080600624/se-2?accountid=13360,IL
4620,cap_and_trade,The EPA is choking democracy,"Goldberg, Jonah","Chicago Tribune; Chicago, Ill.","Apr 23, 2009","Chicago, Ill.",,News,https://www.proquest.com/newspapers/epa-is-choking-democracy/docview/420780865/se-2?accountid=13360,IL
4634,cap_and_trade,"Reversing climate change: New energy blueprint imperfect, but these new rules should clean the skies",,"Chicago Tribune; Chicago, Ill.","Aug 4, 2015","Chicago, Ill.",,News,https://www.proquest.com/newspapers/reversing-climate-change/docview/1700932264/se-2?accountid=13360,IL
4913,cap_and_trade,"How to fill a Senate seat: Candidates hoping to replace Sen. Roland Burris agree it should be up to voters, not the governor, to fill Senate vacancies through a special election","Pearson, Rick","Chicago Tribune; Chicago, Ill.","Dec 7, 2009","Chicago, Ill.",,News,https://www.proquest.com/newspapers/how-fill-senate-seat/docview/420850228/se-2?accountid=13360,IL
4921,cap_and_trade,Bush sets clean-air plan ; Emissions limits would be tied to state of economy: [North Sports Final Edition],"Bob Kemper and Jeff Zeleny, Washington Bureau","Chicago Tribune; Chicago, Ill.","Feb 14, 2002","Chicago, Ill.",,News,https://www.proquest.com/newspapers/bush-sets-clean-air-plan-emissions-limits-would/docview/419622635/se-2?accountid=13360,IL
5004,cap_and_trade,Merriam-Webster adds da 'Yoopers' to dictionary,,"Daily Herald; Arlington Heights, Ill.","May 20, 2014","Arlington Heights, Ill.",2,NEWS,https://www.proquest.com/newspapers/merriam-webster-adds-da-yoopers-dictionary/docview/1527097304/se-2?accountid=13360,IL
5015,cap_and_trade,Fence Post,Anonymous,"Daily Herald; Arlington Heights, Ill.","May 30, 2009","Arlington Heights, Ill.",8,NEWS,https://www.proquest.com/newspapers/fence-post/docview/313433455/se-2?accountid=13360,IL
5045,cap_and_trade,Seeing new perspective on climate: Senators explore views on warming in each other's state,"Banerjee, Neela","Chicago Tribune; Chicago, Ill.","Oct 22, 2014","Chicago, Ill.",,News,https://www.proquest.com/newspapers/seeing-new-perspective-on-climate/docview/1614632589/se-2?accountid=13360,IL
5125,cap_and_trade,VOICE OF THE PEOPLE,Anonymous,"Chicago Tribune; Chicago, Ill.","Oct 29, 2010","Chicago, Ill.",,News,https://www.proquest.com/newspapers/voice-people/docview/761012683/se-2?accountid=13360,IL
5136,cap_and_trade,Love and politics: Political beliefs aren't supposed to affect dating choices but new survey casts a different vote,"Stevens, Heidi","Chicago Tribune; Chicago, Ill.","Mar 25, 2012","Chicago, Ill.",,Sunday,https://www.proquest.com/newspapers/love-politics/docview/940500661/se-2?accountid=13360,IL
5174,cap_and_trade,Fence Post,Anonymous,"Daily Herald; Arlington Heights, Ill.","Nov 12, 2009","Arlington Heights, Ill.",14,NEWS,https://www.proquest.com/newspapers/fence-post/docview/313487016/se-2?accountid=13360,IL
5176,cap_and_trade,Hopefulssee needto reducespending,Anonymous,"Daily Herald; Arlington Heights, Ill.","Jan 15, 2010","Arlington Heights, Ill.",1,NEIGHBOR,https://www.proquest.com/newspapers/hopefulssee-needto-reducespending/docview/313551402/se-2?accountid=13360,IL
