,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
1616,cap_and_trade,"New market for emissions to mean green?; Trading program in Europe, along with Kyoto pact, could help create many changes","Foss, Brad","Telegraph - Herald; Dubuque, Iowa","Feb 20, 2005","Dubuque, Iowa",,Business,https://www.proquest.com/newspapers/new-market-emissions-mean-green-trading-program/docview/368512042/se-2?accountid=13360,IA
1905,cap_and_trade,"Big investment now would bring energy-saving tools to all, he says",Clayworth Jason,"Des Moines Register; Des Moines, Iowa","Oct 9, 2007","Des Moines, Iowa",,Metro Iowa,https://www.proquest.com/newspapers/big-investment-now-would-bring-energy-saving/docview/237822695/se-2?accountid=13360,IA
1938,cap_and_trade,'Yoopers' thrilled to join dictionary,"ITALIE, LEANNE","Telegraph - Herald; Dubuque, Iowa","May 20, 2014","Dubuque, Iowa",A.1,,https://www.proquest.com/newspapers/yoopers-thrilled-join-dictionary/docview/1526526283/se-2?accountid=13360,IA
1967,cap_and_trade,Headline: Letters to the Editor,,"Des Moines Register; Des Moines, Iowa","Oct 14, 2004","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/headline-letters-editor/docview/237734780/se-2?accountid=13360,IA
2045,cap_and_trade,Richardson: Global plan necessary for crises,"Petroski, William","Des Moines Register; Des Moines, Iowa","Oct 19, 2007","Des Moines, Iowa",,Metro Iowa,https://www.proquest.com/newspapers/richardson-global-plan-necessary-crises/docview/237819394/se-2?accountid=13360,IA
2121,cap_and_trade,"Climate bill will be bad for Iowa, jobs",,"Des Moines Register; Des Moines, Iowa","Jul 5, 2009","Des Moines, Iowa",,Sunday Opinion,https://www.proquest.com/newspapers/climate-bill-will-be-bad-iowa-jobs/docview/237871889/se-2?accountid=13360,IA
2232,cap_and_trade,Brasher: Arkansas senator steps up as forceful ag advocate,"Brasher, Philip","Des Moines Register; Des Moines, Iowa","Sep 20, 2009","Des Moines, Iowa",,BUSINESS,https://www.proquest.com/newspapers/brasher-arkansas-senator-steps-up-as-forceful-ag/docview/237856962/se-2?accountid=13360,IA
2320,cap_and_trade,IN THEIR OWN WORDS,,"Des Moines Register; Des Moines, Iowa","Dec 14, 2007","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/their-own-words/docview/237831328/se-2?accountid=13360,IA
2423,cap_and_trade,Iowa businesses say uncertainty stifles hiring,"Eller, Donnelle","Des Moines Register; Des Moines, Iowa","May 16, 2010","Des Moines, Iowa",,BUSINESS,https://www.proquest.com/newspapers/iowa-businesses-say-uncertainty-stifles-hiring/docview/237891465/se-2?accountid=13360,IA
2543,cap_and_trade,Bush seeks to change U.S. image on global warming,The Associated Press,"Telegraph - Herald; Dubuque, Iowa","Sep 29, 2007","Dubuque, Iowa",,,https://www.proquest.com/newspapers/bush-seeks-change-u-s-image-on-global-warming/docview/368772948/se-2?accountid=13360,IA
2635,cap_and_trade,"Pope's message challenges caucusgoers, candidates",,"Des Moines Register; Des Moines, Iowa","Jun 21, 2015","Des Moines, Iowa",4,OP,https://www.proquest.com/newspapers/popes-message-challenges-caucusgoers-candidates/docview/1690092614/se-2?accountid=13360,IA
2762,cap_and_trade,Climate change PAC targets Senate race,,"Des Moines Register; Des Moines, Iowa","Jul 20, 2014","Des Moines, Iowa",3,OP,https://www.proquest.com/newspapers/climate-change-pac-targets-senate-race/docview/1546129799/se-2?accountid=13360,IA
2865,cap_and_trade,"It's the economy, stupid, again","Carberry, Mike","Press - Citizen; Iowa City, Iowa","Oct 6, 2008","Iowa City, Iowa",,OPINION,https://www.proquest.com/newspapers/economy-stupid-again/docview/440895243/se-2?accountid=13360,IA
2915,cap_and_trade,Brasher: Obama still empty-handed on climate goals,"Brasher, Philip","Des Moines Register; Des Moines, Iowa","Sep 6, 2009","Des Moines, Iowa",,BUSINESS,https://www.proquest.com/newspapers/brasher-obama-still-empty-handed-on-climate-goals/docview/237862981/se-2?accountid=13360,IA
3013,cap_and_trade,Obama's plan looks offshore for energy,"Beaumont, Thomas","Des Moines Register; Des Moines, Iowa","Apr 23, 2009","Des Moines, Iowa",,NEWS,https://www.proquest.com/newspapers/obamas-plan-looks-offshore-energy/docview/237845242/se-2?accountid=13360,IA
3018,cap_and_trade,"2 leaders, but worlds apart","Rubin, Trudy","Telegraph - Herald; Dubuque, Iowa","Sep 30, 2015","Dubuque, Iowa",A.4,,https://www.proquest.com/newspapers/2-leaders-worlds-apart/docview/1717833819/se-2?accountid=13360,IA
3052,cap_and_trade,Warming gets unprecedented focus,"Beeman, Perry","Des Moines Register; Des Moines, Iowa","Dec 31, 2007","Des Moines, Iowa",,Metro Iowa,https://www.proquest.com/newspapers/warming-gets-unprecedented-focus/docview/237823523/se-2?accountid=13360,IA
3066,cap_and_trade,Obama calls for 'new era' in U.S. energy,"Beaumont, Tom; Piller, Dan","Des Moines Register; Des Moines, Iowa","Apr 22, 2009","Des Moines, Iowa",,NEWS,https://www.proquest.com/newspapers/obama-calls-new-era-u-s-energy/docview/237845742/se-2?accountid=13360,IA
3100,cap_and_trade,Obama's plan looks offshore for energy: [1],"Beaumont, Thomas","Des Moines Register; Des Moines, Iowa","Apr 23, 2009","Des Moines, Iowa",,NEWS,https://www.proquest.com/newspapers/obamas-plan-looks-offshore-energy/docview/237845199/se-2?accountid=13360,IA
3413,cap_and_trade,"Will Iowa confront climate change, transform economy?",,"Des Moines Register; Des Moines, Iowa","Jan 29, 2009","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/will-iowa-confront-climate-change-transform/docview/237821476/se-2?accountid=13360,IA
3539,cap_and_trade,"Alliant: Coal plant shelved, not killed",,"Des Moines Register; Des Moines, Iowa","Mar 6, 2009","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/alliant-coal-plant-shelved-not-killed/docview/237845705/se-2?accountid=13360,IA
3564,cap_and_trade,Trade pollution like stocks?,"Condon, Bernard","Telegraph - Herald; Dubuque, Iowa","Dec 11, 2015","Dubuque, Iowa",B.5,,https://www.proquest.com/newspapers/trade-pollution-like-stocks/docview/1748057628/se-2?accountid=13360,IA
3715,cap_and_trade,Iowa roots: Speaking truth to power,,"Des Moines Register; Des Moines, Iowa","Oct 12, 2014","Des Moines, Iowa",1,OP,https://www.proquest.com/newspapers/iowa-roots-speaking-truth-power/docview/1610583078/se-2?accountid=13360,IA
3774,cap_and_trade,Obama destroying capitalism,Anonymous,"Telegraph - Herald; Dubuque, Iowa","Aug 6, 2010","Dubuque, Iowa",A.4,,https://www.proquest.com/newspapers/obama-destroying-capitalism/docview/740064121/se-2?accountid=13360,IA
3838,cap_and_trade,Farm groups dismiss Senate climate bill,"Brasher, Philip","Des Moines Register; Des Moines, Iowa","Oct 1, 2009","Des Moines, Iowa",,BUSINESS,https://www.proquest.com/newspapers/farm-groups-dismiss-senate-climate-bill/docview/237876193/se-2?accountid=13360,IA
3858,cap_and_trade,"Don't use oil spill to push energy bill, Grassley says","Beaumont, Thomas","Des Moines Register; Des Moines, Iowa","Jun 17, 2010","Des Moines, Iowa",,NEWS,https://www.proquest.com/newspapers/dont-use-oil-spill-push-energy-bill-grassley-says/docview/501676304/se-2?accountid=13360,IA
3873,cap_and_trade,Senate climate bill leaves out ag wishes,"Brasher, Philip","Des Moines Register; Des Moines, Iowa","Oct 1, 2009","Des Moines, Iowa",,BUSINESS,https://www.proquest.com/newspapers/senate-climate-bill-leaves-out-ag-wishes/docview/237875546/se-2?accountid=13360,IA
3875,cap_and_trade,Global-warming bill proceeds,The Associated Press,"Telegraph - Herald; Dubuque, Iowa","Dec 6, 2007","Dubuque, Iowa",,,https://www.proquest.com/newspapers/global-warming-bill-proceeds/docview/368776280/se-2?accountid=13360,IA
3966,cap_and_trade,What Others Are Saying: Intemperate climate of presidential excess,,"Des Moines Register; Des Moines, Iowa","Jun 27, 2013","Des Moines, Iowa",,Opinion,https://www.proquest.com/newspapers/what-others-are-saying-intemperate-climate/docview/1371815382/se-2?accountid=13360,IA
3967,cap_and_trade,Big crowd for Oregon climate bill hearing,,"Telegraph - Herald; Dubuque, Iowa","Feb 9, 2020","Dubuque, Iowa",C3,,https://www.proquest.com/newspapers/big-crowd-oregon-climate-bill-hearing/docview/2352813630/se-2?accountid=13360,IA
4263,cap_and_trade,McCain urges free-market principles to reduce warming,The Associated Press,"Telegraph - Herald; Dubuque, Iowa","May 13, 2008","Dubuque, Iowa",C.5,,https://www.proquest.com/newspapers/mccain-urges-free-market-principles-reduce/docview/368848869/se-2?accountid=13360,IA
4335,cap_and_trade,Climate change cannot be ignored,,"Des Moines Register; Des Moines, Iowa","Jul 30, 2009","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/climate-change-cannot-be-ignored/docview/237869867/se-2?accountid=13360,IA
4448,cap_and_trade,Our View - 2009 issues to keep watching six months later,,"Press - Citizen; Iowa City, Iowa","Jun 30, 2009","Iowa City, Iowa",,OPINION,https://www.proquest.com/newspapers/our-view-2009-issues-keep-watching-six-months/docview/440928237/se-2?accountid=13360,IA
4586,cap_and_trade,Smolder of leaves invokes wistful thoughts,"Wellman, Mike","Des Moines Register; Des Moines, Iowa","Oct 19, 2014","Des Moines, Iowa",1,E,https://www.proquest.com/newspapers/smolder-leaves-invokes-wistful-thoughts/docview/1613783568/se-2?accountid=13360,IA
4905,cap_and_trade,"Energy bill chugs along, losing steam",,"Des Moines Register; Des Moines, Iowa","Jun 30, 2007","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/energy-bill-chugs-along-losing-steam/docview/237810061/se-2?accountid=13360,IA
5085,cap_and_trade,West Coast fishery rebounds in rare conservation 'home run',"Flaccus, Gillian","Telegraph - Herald; Dubuque, Iowa","Dec 29, 2019","Dubuque, Iowa",E4,,https://www.proquest.com/newspapers/west-coast-fishery-rebounds-rare-conservation/docview/2331322037/se-2?accountid=13360,IA
5106,cap_and_trade,EPA head announces resignation,"Freking, Kevin","Telegraph - Herald; Dubuque, Iowa","Dec 28, 2012","Dubuque, Iowa",C.9,,https://www.proquest.com/newspapers/epa-head-announces-resignation/docview/1264412333/se-2?accountid=13360,IA
5139,cap_and_trade,Western Iowans know of Hancher,,"Press - Citizen; Iowa City, Iowa","Feb 9, 2005","Iowa City, Iowa",,Opinion,https://www.proquest.com/newspapers/western-iowans-know-hancher/docview/440733409/se-2?accountid=13360,IA
5556,cap_and_trade,W.D.M. seat contested for first time since '96,"Strong, Jared","Des Moines Register; Des Moines, Iowa","Oct 21, 2008","Des Moines, Iowa",,Metro Iowa,https://www.proquest.com/newspapers/w-d-m-seat-contested-first-time-since-96/docview/237850667/se-2?accountid=13360,IA
5665,carbon_tax,How I eventually learned to love the carbon tax,"NeuCollins, Mark","Press - Citizen; Iowa City, Iowa","Jan 28, 2014","Iowa City, Iowa",,Guest Editorials,https://www.proquest.com/newspapers/how-i-eventually-learned-love-carbon-tax/docview/1491985638/se-2?accountid=13360,IA
5688,carbon_tax,"'CARBON TAX' would help iowa, planet",,"Des Moines Register; Des Moines, Iowa","Oct 5, 2014","Des Moines, Iowa",4,OP,https://www.proquest.com/newspapers/carbon-tax-would-help-iowa-planet/docview/1608975244/se-2?accountid=13360,IA
5814,carbon_tax,Another View: Carbon tax would strike blow to U.S. economy,"Pyle, Thomas","Des Moines Register; Des Moines, Iowa","Sep 19, 2013","Des Moines, Iowa",,Columnists - Opinion,https://www.proquest.com/newspapers/another-view-carbon-tax-would-strike-blow-u-s/docview/1433788470/se-2?accountid=13360,IA
6131,carbon_tax,Climate change already is here and growing worse,"Carlson, Charis; Jeff","Press - Citizen; Iowa City, Iowa","May 23, 2014","Iowa City, Iowa",9,A,https://www.proquest.com/newspapers/climate-change-already-is-here-growing-worse/docview/1527387733/se-2?accountid=13360,IA
6275,carbon_tax,Fiegen runs with feet and sharp elbows,,"Des Moines Register; Des Moines, Iowa","Apr 14, 2016","Des Moines, Iowa",A.15,News,https://www.proquest.com/newspapers/fiegen-runs-with-feet-sharp-elbows/docview/1780806628/se-2?accountid=13360,IA
6414,carbon_tax,President can make green easier,"Carberry, Mike","Press - Citizen; Iowa City, Iowa","Dec 27, 2007","Iowa City, Iowa",,OPINION,https://www.proquest.com/newspapers/president-can-make-green-easier/docview/440839600/se-2?accountid=13360,IA
6819,carbon_tax,Trudeau appears set to hold onto government,"Gillies, Rob","Telegraph - Herald; Dubuque, Iowa","Oct 22, 2019","Dubuque, Iowa",C7,,https://www.proquest.com/newspapers/trudeau-appears-set-hold-onto-government/docview/2307541695/se-2?accountid=13360,IA
7173,carbon_tax,"Alliant: Coal plant shelved, not killed",,"Des Moines Register; Des Moines, Iowa","Mar 6, 2009","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/alliant-coal-plant-shelved-not-killed/docview/237845705/se-2?accountid=13360,IA
7435,carbon_tax,Who will lead a clean-energy crusade?,,"Des Moines Register; Des Moines, Iowa","Oct 14, 2007","Des Moines, Iowa",,Sunday Opinion,https://www.proquest.com/newspapers/who-will-lead-clean-energy-crusade/docview/237822964/se-2?accountid=13360,IA
7467,carbon_tax,Using the 'precautionary principle',Nelson; Emily,"Press - Citizen; Iowa City, Iowa","Mar 27, 2015","Iowa City, Iowa",7,A,https://www.proquest.com/newspapers/using-precautionary-principle/docview/1667156079/se-2?accountid=13360,IA
7480,carbon_tax,Big crowd for Oregon climate bill hearing,,"Telegraph - Herald; Dubuque, Iowa","Feb 9, 2020","Dubuque, Iowa",C3,,https://www.proquest.com/newspapers/big-crowd-oregon-climate-bill-hearing/docview/2352813630/se-2?accountid=13360,IA
7542,carbon_tax,We can fight climate change now,CLIMATE ADVOCATES,"Press - Citizen; Iowa City, Iowa","Mar 30, 2019","Iowa City, Iowa",A.6,News,https://www.proquest.com/newspapers/we-can-fight-climate-change-now/docview/2199779999/se-2?accountid=13360,IA
7557,carbon_tax,Axne introduces bill to provide support for rural communities,"Shillcock, George","Des Moines Register; Des Moines, Iowa","Jan 31, 2021","Des Moines, Iowa",C.8,News,https://www.proquest.com/newspapers/axne-introduces-bill-provide-support-rural/docview/2484105375/se-2?accountid=13360,IA
7666,carbon_tax,Climate scientist sees opportunity for Iowa,,"Des Moines Register; Des Moines, Iowa","Apr 19, 2015","Des Moines, Iowa",3,OP,https://www.proquest.com/newspapers/climate-scientist-sees-opportunity-iowa/docview/1674193145/se-2?accountid=13360,IA
7872,carbon_tax,Clinton needs Sanders' supporters,"Leubsdorf, Carl P","Telegraph - Herald; Dubuque, Iowa","Jul 11, 2016","Dubuque, Iowa",A.4,,https://www.proquest.com/newspapers/clinton-needs-sanders-supporters/docview/1802982064/se-2?accountid=13360,IA
8009,carbon_tax,Iowa View: We must take climate change action now,"Drake, David E","Des Moines Register; Des Moines, Iowa","Oct 27, 2013","Des Moines, Iowa",,Columnists - Opinion,https://www.proquest.com/newspapers/iowa-view-we-must-take-climate-change-action-now/docview/1445350941/se-2?accountid=13360,IA
8296,clean_energy_standard,"Increase efficiency, renewable energy","Scharnau, Ralph","Telegraph - Herald; Dubuque, Iowa","Feb 5, 2012","Dubuque, Iowa",A.15,,https://www.proquest.com/newspapers/increase-efficiency-renewable-energy/docview/919841293/se-2?accountid=13360,IA
8362,demand-side_management,Is energy efficiency an option instead?,,"Des Moines Register; Des Moines, Iowa","Apr 16, 2008","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/is-energy-efficiency-option-instead/docview/237837560/se-2?accountid=13360,IA
8400,demand-side_management,How to factor in climate change?,,"Des Moines Register; Des Moines, Iowa","Apr 18, 2008","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/how-factor-climate-change/docview/237837588/se-2?accountid=13360,IA
8520,demand-side_management,How to factor in climate change?,,"Des Moines Register; Des Moines, Iowa","Apr 18, 2008","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/how-factor-climate-change/docview/237837588/se-2?accountid=13360,IA
8670,emissions_tax,Dodd stresses environmental plans,"Rossi, Lisa","Des Moines Register; Des Moines, Iowa","May 4, 2007","Des Moines, Iowa",,Metro Iowa,https://www.proquest.com/newspapers/dodd-stresses-environmental-plans/docview/237808776/se-2?accountid=13360,IA
8983,gas_tax,Put gas-tax hike at top of wish list,,"Telegraph - Herald; Dubuque, Iowa","Dec 10, 2014","Dubuque, Iowa",A.4,,https://www.proquest.com/newspapers/put-gas-tax-hike-at-top-wish-list/docview/1635063103/se-2?accountid=13360,IA
9103,gas_tax,Lawmakers ponder pumping up gas tax; To sustain highways: Economist says an increase would be 'ill-timed at best';,"Abrams, Jim","Telegraph - Herald; Dubuque, Iowa","Mar 9, 2003","Dubuque, Iowa",,National/World,https://www.proquest.com/newspapers/lawmakers-ponder-pumping-up-gas-tax-sustain/docview/368097739/se-2?accountid=13360,IA
9277,gas_tax,BONUS: More recommendations for the Legislature from Register readers,,"Des Moines Register; Des Moines, Iowa","Jan 1, 2012","Des Moines, Iowa",,OPINION,https://www.proquest.com/newspapers/bonus-more-recommendations-legislature-register/docview/914486609/se-2?accountid=13360,IA
9278,gas_tax,Your 2 Cents' Worth,,"Des Moines Register; Des Moines, Iowa","Dec 24, 2008","Des Moines, Iowa",,Iowa Life,https://www.proquest.com/newspapers/your-2-cents-worth/docview/237856221/se-2?accountid=13360,IA
9552,gas_tax,The Register's Editorial: Branstad's agenda is a good place to start,,"Des Moines Register; Des Moines, Iowa","Jan 15, 2014","Des Moines, Iowa",,Register Editorials,https://www.proquest.com/newspapers/registers-editorial-branstads-agenda-is-good/docview/1477429460/se-2?accountid=13360,IA
9590,gas_tax,States eye new tolls to pay for highways,"Lowy, Joan","Telegraph - Herald; Dubuque, Iowa","May 25, 2012","Dubuque, Iowa",C.5,,https://www.proquest.com/newspapers/states-eye-new-tolls-pay-highways/docview/1016306209/se-2?accountid=13360,IA
9788,gas_tax,Our view,,"Press - Citizen; Iowa City, Iowa","Oct 24, 2002","Iowa City, Iowa",,OPINION,https://www.proquest.com/newspapers/our-view/docview/896676065/se-2?accountid=13360,IA
9807,gas_tax,Yepsen: Taxing tax debate gathers speed at Statehouse,"YEPSEN, DAVID","Des Moines Register; Des Moines, Iowa","Dec 5, 2006","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/yepsen-taxing-tax-debate-gathers-speed-at/docview/237804988/se-2?accountid=13360,IA
9809,gas_tax,House 27 seat candidate,Anonymous,"Telegraph - Herald; Dubuque, Iowa","May 25, 2008","Dubuque, Iowa",A.13,,https://www.proquest.com/newspapers/house-27-seat-candidate/docview/368896148/se-2?accountid=13360,IA
9851,gas_tax,Letters To The Editor,,"Des Moines Register; Des Moines, Iowa","Aug 23, 2007","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/letters-editor/docview/237801989/se-2?accountid=13360,IA
9940,gas_tax,Local legislators against fuel tax: OURTH,,"Des Moines Register; Des Moines, Iowa","Mar 4, 2015","Des Moines, Iowa",7,A,https://www.proquest.com/newspapers/local-legislators-against-fuel-tax/docview/1660380029/se-2?accountid=13360,IA
10074,gas_tax,"We need less government, not more taxes","Yepsen, David","Des Moines Register; Des Moines, Iowa","Jan 6, 2009","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/we-need-less-government-not-more-taxes/docview/237822863/se-2?accountid=13360,IA
10081,gas_tax,"When it comes to transportation, there is no free ride",Nelson; Emily,"Press - Citizen; Iowa City, Iowa","Mar 4, 2015","Iowa City, Iowa",11,A,https://www.proquest.com/newspapers/when-comes-transportation-there-is-no-free-ride/docview/1660498072/se-2?accountid=13360,IA
10236,gas_tax,Headline: What's next for Iowa?,"Yepsen, David","Des Moines Register; Des Moines, Iowa","May 1, 2005","Des Moines, Iowa",,Sunday Opinion,https://www.proquest.com/newspapers/headline-whats-next-iowa/docview/237771179/se-2?accountid=13360,IA
10295,gas_tax,Iowans will now decide if state cuts go too far,,"Des Moines Register; Des Moines, Iowa","Jul 10, 2011","Des Moines, Iowa",,OPINION,https://www.proquest.com/newspapers/iowans-will-now-decide-if-state-cuts-go-too-far/docview/875665791/se-2?accountid=13360,IA
10350,gas_tax,Iowa shouldn't be last in access to electric vehicles,,"Des Moines Register; Des Moines, Iowa","Jun 23, 2021","Des Moines, Iowa",A.7,News,https://www.proquest.com/newspapers/iowa-shouldnt-be-last-access-electric-vehicles/docview/2543905125/se-2?accountid=13360,IA
10360,gas_tax,Safeguard needed for school sales tax,"Yepsen, David","Des Moines Register; Des Moines, Iowa","Feb 24, 2008","Des Moines, Iowa",,Sunday Opinion,https://www.proquest.com/newspapers/safeguard-needed-school-sales-tax/docview/237834507/se-2?accountid=13360,IA
10605,gas_tax,Iowa counties struggle to maintain their roads,"Petroski, William","Des Moines Register; Des Moines, Iowa","Jan 26, 2011","Des Moines, Iowa",,NEWS,https://www.proquest.com/newspapers/iowa-counties-struggle-maintain-their-roads/docview/847303466/se-2?accountid=13360,IA
10856,gas_tax,Politics trumps infrastructure,"Yepsen, David","Des Moines Register; Des Moines, Iowa","Aug 12, 2007","Des Moines, Iowa",,Sunday Opinion,https://www.proquest.com/newspapers/politics-trumps-infrastructure/docview/237802823/se-2?accountid=13360,IA
10933,gas_tax,"Roses and Thistles' Will they sign a pledge not to use Iowa's roads, too?",,"Des Moines Register; Des Moines, Iowa","Oct 16, 2011","Des Moines, Iowa",,OPINION,https://www.proquest.com/newspapers/roses-thistles-will-they-sign-pledge-not-use/docview/898460216/se-2?accountid=13360,IA
10998,gas_tax,Bill is due to shore up infrastructure,,"Des Moines Register; Des Moines, Iowa","Aug 12, 2007","Des Moines, Iowa",,Sunday Opinion,https://www.proquest.com/newspapers/bill-is-due-shore-up-infrastructure/docview/237803989/se-2?accountid=13360,IA
11005,gas_tax,Illinois/Iowa/Wisconsin briefs,The Associated Press,"Telegraph - Herald; Dubuque, Iowa","Mar 7, 2009","Dubuque, Iowa",D.3,,https://www.proquest.com/newspapers/illinois-iowa-wisconsin-briefs/docview/368978939/se-2?accountid=13360,IA
11006,gas_tax,Teachers deserve salute for scores,,"Press - Citizen; Iowa City, Iowa","Dec 7, 2004","Iowa City, Iowa",,Opinion,https://www.proquest.com/newspapers/teachers-deserve-salute-scores/docview/440726525/se-2?accountid=13360,IA
11021,gas_tax,Tax triple play worth a shot,"Yepsen, David","Des Moines Register; Des Moines, Iowa","May 6, 2007","Des Moines, Iowa",,Sunday Opinion,https://www.proquest.com/newspapers/tax-triple-play-worth-shot/docview/237806475/se-2?accountid=13360,IA
11036,gas_tax,Evers vows no tax increases; Warren rallies for Baldwin,,"Telegraph - Herald; Dubuque, Iowa","Nov 3, 2018","Dubuque, Iowa",C7,,https://www.proquest.com/newspapers/evers-vows-no-tax-increases-warren-rallies/docview/2130167978/se-2?accountid=13360,IA
11248,gas_tax,Group of senators touting work on infrastructure bill,,"Telegraph - Herald; Dubuque, Iowa","Aug 4, 2021","Dubuque, Iowa",C8,,https://www.proquest.com/newspapers/group-senators-touting-work-on-infrastructure/docview/2557908925/se-2?accountid=13360,IA
11261,gas_tax,Headline: More than a win is at stake,"Yepsen, David","Des Moines Register; Des Moines, Iowa","Nov 6, 2005","Des Moines, Iowa",,Sunday Opinion,https://www.proquest.com/newspapers/headline-more-than-win-is-at-stake/docview/237770621/se-2?accountid=13360,IA
11379,gas_tax,"'CARBON TAX' would help iowa, planet",,"Des Moines Register; Des Moines, Iowa","Oct 5, 2014","Des Moines, Iowa",4,OP,https://www.proquest.com/newspapers/carbon-tax-would-help-iowa-planet/docview/1608975244/se-2?accountid=13360,IA
11445,gas_tax,Benefits of ethanol; Smog reduction never was its biggest selling point.,,"Des Moines Register; Des Moines, Iowa","May 13, 1999","Des Moines, Iowa",,MAIN NEWS,https://www.proquest.com/newspapers/benefits-ethanol-smog-reduction-never-was-biggest/docview/889379662/se-2?accountid=13360,IA
11525,gas_tax,Pelosi pledges swift work on major infrastructure package,,"Telegraph - Herald; Dubuque, Iowa","Mar 16, 2021","Dubuque, Iowa",A13,,https://www.proquest.com/newspapers/pelosi-pledges-swift-work-on-major-infrastructure/docview/2501980911/se-2?accountid=13360,IA
11611,gas_tax,Headline: Letters to the Editor,,"Des Moines Register; Des Moines, Iowa","Sep 18, 2003","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/headline-letters-editor/docview/237685497/se-2?accountid=13360,IA
11670,gas_tax,Biden team paving plan on infrastructure,"Freking, Kevin; Yen, Hope; Boak, Josh","Telegraph - Herald; Dubuque, Iowa","Mar 1, 2021","Dubuque, Iowa",A13,,https://www.proquest.com/newspapers/biden-team-paving-plan-on-infrastructure/docview/2495175224/se-2?accountid=13360,IA
11680,gas_tax,County seats are up for grabs Tuesday,"Gallegos, Rachel","Press - Citizen; Iowa City, Iowa","May 31, 2008","Iowa City, Iowa",,NEWS,https://www.proquest.com/newspapers/county-seats-are-up-grabs-tuesday/docview/440863500/se-2?accountid=13360,IA
