,State,Title,Author,Publication_date,article
0,AK,"Invest in renewable energy
",Molly McDermott Fairbanks,"Feb 10, 2016","Top of Form
\Bottom of Form
\ Gov. Bill Walker’s budget proposal illustrates the growing realization that Alaska must diversify our economy to have a stable financial future. As such a large and rural state, we have unique energy challenges, but also the opportunity to take advantage of a rich array of renewable resources including wind, hydro, solar and geothermal. 
\We cannot afford to provide tax credits to oil companies. Instead, we can incentivize the transition to a diverse energy economy with a carbon fee and dividend, which is a market-based solution that penalizes carbon-producers and provides private households with additional income. By implementing a carbon tax, British Columbia has reduced their emissions by 16 percent and maintained a healthier economy than much of Canada. Kodiak and Sitka are almost entirely powered by renewables and have lowered their energy costs and improved quality of life as a result. Let’s lead the nation in developing renewable technology solutions for our energy needs and transition from a fossil-fuel based economy.
"
1,AK,"Electrify highway with renewable energy
","J.P. Pinard Whitehorse, Yukon Territory","Oct 11, 2015","Top of Form
\Bottom of Form
\My wife, Sally Wright, and I traveled by SmartCar to Fairbanks last week to attend the Arctic Energy Summit. It was a meeting on energy related to the Arctic and it informs the Arctic Council.
\The conference was very informative on issues that are facing the Arctic with the push for extracting more polluting fossil fuel to feed their economies and our need to stop runaway climate change. Next April, Fairbanks will host the Alaska Rural Energy Conference, and we’d like to see more Yukoners join us to learn about the energy challenges and solutions in Alaska. 
\As we drove home from Alaska, we ruminated about how wonderful it would be to drive an electric car back to Fairbanks. Over the day’s drive, we strategized about how to electrify the Alaska Highway and fuel its communities along the way with renewable energy. 
\For us to use that electric car, we would need an EV charging station in every highway lodge and community from the Yukon to Alaska. We want all of those communities to be able to produce renewable energy, store it, use it and sell it to us to recharge our car.
\These communities would build resilience through energy efficient homes and businesses. Energy storage systems would protect the community from rising fossil fuel costs.
\As these communities thrive and grow, the local grid could then be expanded to other renewable energy projects along the highway. Eventually, most of these small communities will be able to connect to each other and start selling renewable electricity to each other’s markets. This new energy infrastructure can spread all over the world and we could become leaders in building this new economy. 
\The inspiration we received from the Arctic Energy Summit is just one hopeful consequence of the un-muzzling of scientists. With our federal election near, we want our fellow Canadians to understand there are good solutions and a vibrant economy awaiting us as we shrug off our addiction to fossil fuels. 
\Our brightest minds are working to solve these problems. Voters need to step up and help us achieve a better future for our children and vote for the person who shows diplomacy and will work across party lines to save our precious home, Earth. 
\There is no Planet B. Only together, can we achieve a better future for our children.
"
2,AK,"Alaska needs to move to renewable energy
",Robert Shields,"Dec 12, 2017","Top of Form
\Bottom of Form
\FAIRBANKS — We desperately need a paradigm shift regarding our attitude toward energy in this state. While the rest of the world is rapidly shifting to clean abundant renewables we are, once again (see the Healy Unit 2 power plant), burdening at least the next two generation of Alaskans with debt and dependence-anchors to the past. As ground zero for the global effects of a rapidly changing climate, we have an opportunity to plant the seeds of change by embracing the merits of a clean energy economy. Recognizing the multitude of benefits that come along with decentralized microgrids, stabilized by a combination of clean technologies such as wind, solar and biofuels translates into lower energy cost, job creation and improved air quality. Using the same pipes laid for natural gas, we can eliminate organic waste in every community in Alaska by digesting it to produce power (including transportation) and as a by-product, get soil for the garden. Then, there is geothermal and microhydro to consider as sources. The list goes on regarding the abundance of technologies that provide alternatives to the short-sighted investment into the dinosaur economy, and I have confidence that in making a transition no one will freeze. 
\In one hour, the sun generates enough power to run our entire civilization for a year. Alaska has the resources to draw power 10 months out of the year and the technology to comfortably meet at least half of our electrical and heating needs annually. If we just took a bite of this low-hanging fruit it would change the entire dynamic in Alaska and finally provide the jobs, clean air and affordable energy we keep getting promised. What Germany, a world leader in solar energy, and many other countries have that we currently lack is the political will to put real limits on the companies using lobbyist to write law, buy representatives and make their profiteering legal at the cost of the community and the planet. An oil ex-executive as the head of the Environmental Protection Agency is a perfect example of how fools multiply when wise men stay silent.
\Fortunately, the economic climate is also shifting. GE just announced they are cutting 12,000 jobs from their energy sector because the demand for coal and natural gas just isn’t there. At the same time, according to a CNN article, the clean energy economy is growing 17 times faster than the rest of the economy combined with a sustained growth rate of 24 percent. It’s expected this industry will add more than 24 million jobs by 2030. In defiance of Trump, both Anchorage and Fairbanks mayors have pledged to support the Paris climate accords. The cost of solar technology has dropped more than 50 percent in just the past five years. In addition, financial institutes, like Denali Federal Credit Union, are now offering financing for residential solar panels. Harnessed for the millennium, sunlight is free.
\For the past six years I have organized the annual solar tour, which had a record 12 sites this season. With 165 systems tied into the Golden Valley Electric Association grid, it is clear solar works in Alaska. When companies like Giant Tire and HooDoo Brewery convert, you know the industry is primed to go mainstream. Earlier this year, I managed to convince some local groups to go after the Department of Energy SunShot challenge, which is a national competition with prizes totalling $5 million for communities who can develop models for financing community solar projects; projects that specifically meet the needs of under served populations. As a result, we got $10,000 in technical vouchers, the borough is now seriously looking (after five years of advocacy) at solar for schools. I have been working on a presentation to instigate solar projects with local churches as a forerunner to strive for energy independence for every corner of the state.
\Historically, Alaska is known as an oil state. Just like the U.S., historically, was known for the slave trade. When we came together and mustered the political courage to abolish slavery we thrived. While no system is perfect, most would agree we are in a much better place. The same is true of making the just transition from drilling for dinosaurs to harnessing the free, clean and abundant energy from the natural world all around us. When we let go of the past, the future becomes clear. With an aerospace university, extreme environmental conditions and hundreds of isolated communities we could thrive as a STEM (science, technology, engineering and math education) state, helping Elon Musk win the race to Mars.
\Robert Shields lives in Fairbanks and is the founder of the Alliance for Reason and Knowledge.
"
3,AK,"Murkowski must lead on renewable energy
",Top of Form,"Mar 26, 2016","Bottom of Form
\Fairbanks Daily 
\Alaska’s fiscal and economic crisis, as well the impacts of our warming climate are two topics grabbing headlines in Alaska on a daily basis. On Monday at 1 p.m. in the Fairbanks Pipeline Training Center, Sen. Lisa Murkowski will be holding a field hearing for the U.S. Senate Committee on Energy and Natural Resources. The topic of the hearing is “Expanding Alaska Resource Development — Opportunities to Create Jobs and Strengthen National Security.”
\Conspicuously missing from the list of invited witnesses is anyone who will advocate for the development of Alaska’s vast renewable resources. As chairman of the Committee, Sen. Murkowski has instead selected witnesses with ties that represent to the extractive industries. These witnesses will undoubtedly call for doubling down on the fossil fuel dependency that has caused the economic and environmental downturns that Alaskans are yearning to escape from. 
\The development and deployment of renewable energy sources, on the other hand, is precisely what will be necessary in the years ahead to diversify Alaska’s economy, offer Alaskans true independence from the volatile price swings of fossil fuels and prevent dangerous climate change that is already damaging our state’s vulnerable landscapes, oceans, ecosystems, infrastructure and communities. Many economists, scientists, community leaders, faith-based organizations and residents throughout Alaska have been advocating for such a transition. 
\These are the stakeholders from Fairbanks and across Alaska that the Senate committee needs to hear from. Last month, Sen. Murkowski hosted another field hearing in Bethel that highlighted the development of renewable innovations in rural villages, and she should be commended for her leadership on that issue. But renewables are not just a niche innovation being used to power micro-girds in Alaska’s rural villages. 
\Renewables must be the foundation of a new energy system that powers all of Alaska, the United States and the rest of the world without emitting carbon pollution. Alaska needs Murkowski to lead on legislation that diversifies our economy, stimulates a just transition to renewables and protects our climate. The upcoming hearing appears set on accomplishing just the opposite.
\Andrew McDonnell and Jessica Girard
\Fairbanks
"
4,AK,"Renewable Energy Fair looks to the future
",Jeff Richardson ,"Aug 17, 2015","Top of Form
\Bottom of Form
\Top of Form
\Bottom of Form
\FAIRBANKS — A decade after the first Renewable Energy Fair was held at Chena Hot Springs Resort, the annual event has become a magnet for politicians, scientists and innovators.
\The fair trumpets advances in renewable energy, with a backdrop of the geothermal-powered resort at the end of Chena Hot Springs Road. Presentations on LED lighting, hydrogen energy and more were held during a series of sessions during a drizzly Sunday.
\This year hundreds of spectators browsed through the area, listening to speakers that included Gov. Bill Walker, Sen. Dan Sullivan and Fairbanks North Star Borough Mayor Luke Hopkins. Sen. Lisa Murkowski, who planned to attend, canceled due to a family matter.
\Chena Hot Springs Resort owner Bernie Karl, who serves as a high-volume emcee for the event, said he launched it with a simple goal.
\“All I envisioned was sharing knowledge,” he said. “If you keep knowledge, what good is it?”
\Karl said he’s on a continuing search for energy solutions in the North, particularly Alaska. One booth included a massive tub of compressed recycled paper, which Karl’s other business, K&K Recycling, burns to generate electricity. Other displays included compressed wooden logs, advances in cold-weather building designs and geothermal technology.
\“This is a place where it’s very clear that ideas matter, people matter, innovations matter,” Sullivan said.
\Karl used this year’s fair to introduce keynote speaker Stefan Larsson-Mastonstrale, the chairman of the Swedish company Insresol. The company is developing a “personal power plant” roughly the size of an end table that it views as the eventual replacement for large-scale energy projects.
\Its inventors claim the device uses a new type of external-combustion engine to convert solar, biomass or other energy types into a self-contained heat and power plant. Not only will it allow people to save on their utility bills, they say, but will allow them to sell excess electricity to their local utilities.
\Larsson-Mastonstrale said the flow of that electricity through the Internet will allow people to create a virtual grid, eliminating the need for massive energy plants. A network of 250,000 users reportedly makes enough energy to replace a nuclear power plant.
\Karl said he’s toured the Swedish factory where the generators are made and convinced Larsson-Mastonstrale to unveil it to the public at the fair.
\“It’s going to change energy,” he said. “It’s going to change the way we live in the Arctic in the future.”
\Such optimism has become part of Karl’s trademark for the event. 
\Amid a state budget crunch and high energy prices in much of Alaska, Walker said he appreciates the positive tone. He said his week included touring five remote villages — including one where the power plant was connected to hand-pumped 55-gallon oil drums — and that the contrast between problems and potential solutions is encouraging.
\He said other energy projects in the state, such as a biomass-powered boiler at the Tok school, can be traced to innovations like the ones displayed at Chena Hot Springs.
\“I always leave feeling much better than when I arrived,” Walker said.
\Hopkins said he believes that such showcases will eventually translate into practical solutions for the state’s residents.
\“We’re here to move energy from a darn good idea to a darn good solution,” Hopkins said.
"
5,AK,"GVEA plans to add more renewable energy
",Kevin Baird,"May 14, 2017","Top of Form
\Bottom of Form
\FAIRBANKS — Golden Valley Electric Association’s generation portfolio could add more renewable energy in the next decade. 
\And the co-op has a big decision to make regarding the coal power plant known as Healy 1. 
\GVEA President and CEO Cory Borgeson briefly touched on his vision of more renewable energy in the future during the co-ops annual member meeting — mentioning an additional four turbines at GVEA’s own Eva Creek wind farm, Mike Craft’s proposed 13.5-megawatt wind farm, and the Fire Island 2 wind project. Borgeson said GVEA could be putting more batteries into the system to accommodate the increase in renewable energy. 
\Borgeson also announced GVEA would construct a half megawatt solar array near Fairbanks. Borgeson said the small array would be somewhat experimental in nature to see solar arrays cost effective. Borgeson said there are currently 165 solar producers on the grid and an independent power producer has been in contact with GVEA about a creating 1-megawatt solar array near Salcha. 
\Connecting with GVEA is relatively easy and encouraging if the renewable energy source is less than 2 megawatts, Borgeson said. He said an independent power producer that generates more than 2 megawatts will incur regulation costs. 
\ 
\Healy 1 
\The 28-megawatt coal plant known as Healy 1 is due for an environmental permitting upgrade in 2022, Borgeson said. If the permit and upgrade are not met, the plant would be shut down in 2024 and GVEA would lose a cheap source of energy. 
\“It’s a decision we have to make. We haven’t mapped it out. I would suggest it’s more than $50 million to upgrade,” Borgeson said. 
\Borgeson said the Healy 1 plant’s output wouldn’t doom the grid but it would be a tough loss because coal power plants from the 1960s  are lasting a long time and the plant is well maintained. 
\ 
\Healy 2
\Healy 2 — the plant formerly known as the Healy Clean Coal Project — was purchased by GVEA in 2013 from the Alaska Industrial Development and Export Authority for $44 million. After repairs and upgrades the power plant went online in 2015 before an explosion took it out of commission. Healy 2 has since had another small explosion. 
\Borgeson said the plant is still six months to a year from coming online, but when its operational it will produce the cheapest power in the rail belt. 
\“The cost of power out of that plant is so low it is competitive with anything being produced by the Anchorage utilities,” Borgeson said. Borgeson plans to sell power from Healy 2 to other railbelt utilities in an effort to lower member energy rates. “We are always a buyer. When Healy unit 2 runs it would be dispatched all the time. It could be sold to the south.”
\In addition, Borgeson said relationships with other railbelt utilities are at a high point, and these companies have not been so friendly in the past. 
\The Golden Valley Electric Association was formed in 1946. The co-op now has more than 34,000 members and serves the Interior communities stretching from Fairbanks to Delta Junction and south to Cantwell. 
"
6,AK,"Alaska has many renewable energy options
",Matt Buxton,"Sep 28, 2015","Top of Form
\Bottom of Form
\FAIRBANKS — For many, the options for renewable energy may seem pretty limited.
\There’s solar, hydro and wind, and they each come with additional challenges in the Arctic, where winter nights are short and water tends to freeze.
\But there’s plenty on the horizon that could be promising. Some of those technologies are on display this week at the Arctic Energy Summit in Fairbanks, a three-day event at the Carlson Center. 
\The event is hosted by the Alaska-based Institute of the North and has brought in government, industry and other experts from Arctic nations around the world to discuss energy.
\One of those people was Dr. Eric Bibeau, from the University of Manitoba. He acknowledged the challenges facing energy and heat generation in the Arctic, but said his job is to come up with “the new technology to solve it.”
\“The take home message I want you to leave with is that don’t think what you hear in terms of renewable energy is all you’ll have in the future,” he said. “There’s people who work very tirelessly at developing ideas and the world you move forward is going to be full of solutions.”
\Bibeau focused most of his presentation on thermosiphons, a special piping system that leeches the heat out of the ground to help heat and potentially even generate power in a building.
\You’ll see them on the support pillars of the trans-Alaska pipeline system or along the road. They passively suck heat out of the ground, keeping the permafrost cool and the pipeline or road stable.
\Bibeau said they could be used to help cool or heat homes in the Arctic as well as keeping the ground stable. He said the idea could be adapted with the addition of a coolant like ethylene glycol to increase the heat transfer capacity. Such a system could also be used to run a refrigerator without the need to plug it in, he said. 
\“It’s a pipe,” he said. “All you need is a pipe, there’s nothing fancy to it.”
\He also discussed innovations in biomass as well as better ways to utilize solar panels by designing a system that recognizes they’ll rarely be generating their maximum peak load.
\“The future looks renewable and don’t think that one size fits all,” he said. “The oil and gas industry has trained us to be single-minded in one approach, but if you want to go renewable you better like diversity.”
"
7,AK,"Seward to move forward with renewable energy heating project
",Associated Press,"Sep 2, 2015","Top of Form
\Bottom of Form
\SEWARD, Alaska - The Kenai Peninsula city of Seward has voted to move away from heating oil and create a renewable energy heating district.
\The Seward City Council voted Monday to move forward with a project to heat four city buildings using heat from Resurrection Bay tides, according to the Alaska Dispatch News (http://bit.ly/1JB1mrq).
\The proposed system would use a series of heat loops that would absorb energy from sea water moving through gravel 200 to 300 feet below the city's waterfront.
\Andy Baker, an Anchorage-based renewable energy consultant with his own company, YourCleanEnergy, said if built, the system would be the farthest-north ground source heat pump in the country.
\The project has been around for years, especially after the Alaska SeaLife Center, an aquarium and marine mammal rehabilitation facility, successfully implemented a similar system to heat the entire building in 2012.
\""This process in Seward has been very steady, slow-moving, but steady, and always going forward,"" Baker said Tuesday. ""And that's a good model for a lot of these towns.""
\The council has agreed to apply for an $850,000 Alaska Energy Authority Renewables Energy Fund grant and allocated $85,000 in city general funds to make the grant competitive.
\Assistant city manager Ron Long estimates heating the library, city hall, a city annex and fire department with renewable energy will save the city up to $76,000 annually.
\With President Barack Obama's visit to the city just hours after the council passed the decision, Long said he wished he could highlight Seward's progress toward renewable energy and fighting climate change even further.
\""I really wish I had an opportunity to say, 'Look what our city council did last night!'"" he said. ""But I can see how it's not possible that I would be able to have lunch with the president.""
"
8,AK,"Renewable Energy Fair offers ideas for heating and eating
",MATT BUXTON,"Aug 19, 2013","Top of Form
\Bottom of Form
\FAIRBANKS — The annual Renewable Energy Fair at Chena Hot Springs Resort is a place for big ideas.
\Sunday’s event featured a plethora of promising projects and presentations in the fields of geothermal, wind to heat ideas, solar power, hydro power and even horse power.
\But the project that was turning the most heads was the insulated shipping trailer filled with hundreds of heads of lettuce growing happily under rows of LED lights.
\The system is based on years of trial-and-error in Chena Hot Springs’ year-round greenhouse, which produces lettuce and tomatoes as well as other produce.
\“If we had not been successful over there, we wouldn’t even try this,” said Jeff Warner, the controlled-climate specialist at Chena Hot Springs Resort.
\Warner and Chena Hot Springs have been working for years with researchers at the University of Alaska Fairbanks on perfecting the balance of lights, water, heat, humidity and air-circulation to grow plants year round.
\The idea with the shipping container, which is destined for Glennallen, is that a community could employ one or more to grow produce that would otherwise be costly or impossible to ship in.
\Warner said the trailers, which can be built locally and shipped throughout the state, can produce as much as 150 heads of lettuce per week.
\The possibilities the unit posed turned a lot of heads, including that of U.S. Sen. Lisa Murkowski, who is a regular face at the annual event.
\“It’s really very impressive what they’re doing with it,” she said. “You could feed a whole community.”
\Warner said the economics of the project are still being calculated, and it’s unclear whether a trailer grow will be a cost effective source for produce in the Fairbanks supermarkets, but said it could be readily deployed to places like the flood-hit Galena.
\“You’ve got to think of every square inch because it’s valuable,” he said. “If I can go buy it cheaper at the store, then I will buy it at the store.”
\When asked if he could grow the hearty green kale, Warner said it’s possible but that it likely wouldn’t make economic sense because not many people like kale.
\But at the end of the day, no matter what sort of indoor growing operation is built, whether it’s in a trailer or a warehouse, it will require knowledgeable hard-working people to operate it.
\Anything from incorrect water pH, to a door left open too long or even cigarettes tainted with tobacco mosaic virus could wipe out an entire crop in moments.
\“Our objective is to provide a nice, stable system that can be operated by knowledgeable people,” he said. “I can build the Taj Mahal of hydroponic systems, but they can put the wrong kind of gas in the tank and everything will die.”
\Luckily, though, a lot of those mistakes have been made at the Chena Hot Springs Resort’s greenhouses, which he says are the testing bed to prove that indoor growing can work in Alaska.
\“The idea is to make the mistakes so you don’t have to,” he said. “We just keep replanting.”
"
9,AK,"House votes to extend renewable energy grant funding
",Fairbanks Daily News-Miner,"Mar 19, 2012","Top of Form
\Bottom of Form
\House votes to extend renewable energy funding
\— Posted by Matt Buxton, staff writer
\The House unanimously passed a five-year extension of a state grant program to develop renewable energy projects on Monday.
\House Bill 250, sponsored by Rep. Bill Thomas, would reauthorize the Alaska Energy Authority’s Renewable Energy Grant Fund through 2018.
\The fund spends up to $50 million a year on renewable energy projects aimed at getting the state off fossil fuels. The fund was created in 2008 and has had 21 projects come online as of January.
\The funded projects cover a wide array of types, including biomass, solar, wind, hydro, geothermal and heat recovery. In Fairbanks, the grant program has paid for a North Pole biomass power plant — run by the Bernie Karl-owned K and K Recycling — and a heat recovery system, which when combined displace an estimated 309,00 gallons of diesel fuel a year.
\It’s also funded the Tok School wood-fired boiler and the Delta wind project.
\The bill heads to the Senate next.
"
10,AK,"In rural Alaska, Obama works to speed renewable energy revolution
",Juliet Eilperin,"Sep 2, 2015","Top of Form
\Bottom of Form
\KOTZEBUE, Alaska - The White House announced Wednesday that it would launch a $4 million initiative to speed the development of renewable energy in remote Alaskan communities, part of a package of new programs aimed at reducing fossil fuel use and countering climate impacts in the region of the world that is warming the fastest.
\The issue of high-cost energy is an acute one in this area of Alaska, where shipping in diesel and gas by barge means residents pay far more to power their homes and run their vehicles than Americans in the lower 48.
\Vernon Adams Sr., vice chair of the tribal government council in the small village of Noatak, said the enormous transportation costs made it imperative they figure out new ways to cut fuel costs.
\""We'd like all the help we can get to get our fuel in a safe manner and enjoy a little of our spending money, rather than spending it on the high cost of fuel,"" Adams said.
\Alaskans paid an average price of 18.12 cents per kilowatt hour of electricity in 2013, according to federal data - second only to New York and Hawaii - but in this part of Alaska, residents pay at least 40 cents a kilowatt hour, even after receiving a state subsidy aimed at making energy costs more equitable across Alaska.
\The renewable energy funding was one of several initiatives the administration unveiled Wednesday under the umbrella of helping tribal and rural communities cope with climate change and other challenges. White House officials said the Denali Commission, an independent federal agency since 1998, would serve as the federal coordinator for building climate resilience in rural Alaska, and would provide $2 million to support voluntary relocation efforts for vulnerable villages.
\The Agricultural Department said Wednesday that it will provide $17.6 million to bolster health operations in more than a dozen communities, as well as $240,000 to improve water and sewage treatment operations in rural Alaska.
\White House senior adviser Brian Deese told reporters the administration was committed to protecting tribal members' way of life.
\""Alaskan Natives have been living in this land and with this way of life for thousands of years. These traditions and ways of live are ... important to our country, important to the state and they are Americans,"" Deese said, adding that officials are working to determine ""because of changes in climate, what can we do to make sure that these traditions and way of life are not lost forever.""
\Still, several tribal leaders who gathered in Kotzebue, which will be the last stop on President Barack Obama's three-day tour of Alaska, said they expected more from the federal government given the peril their communities now face.
\Kivalina tribal government council President Millie Hawley, whose 400-person town stretches eight miles along a gravel spit, has sought federal funding for both an evacuation road and a complete relocation of the village. She noted that in 2004, the town lost at least 70 feet from the side that borders the Chukchi Sea, and changing weather has made the resources villagers depend on less predictable.
\Moving to a major city or different area in Alaska, Hawley said, would devastate the community. ""You're asking us to not be a people anymore,"" she said. ""The land and the resources of our land make us a people.""
\A total relocation of Buckland would cost roughly $100 million; even building the evacuation road would cost roughly $15 million.
\Percy Ballot, tribal government council president of Buckland, said of the $2 million funding announcement: ""We appreciate that, we really do, but we're going to need more money than that. ... If you could, please, pass the message on.""
\Sen. Lisa Murkowski, R-Alaska, noted in an interview that the president has pledged to provide $3 billion to help people in developing countries overseas cope with climate impacts, but rural Alaskans face many of the same challenges..
\In some places, ""there is no running water, there are no sanitation facilities. That puts you in Third World status,"" Murkowski said. ""He's willing to pledge the money for developing countries. But there's a saying that charity begins at home. We don't want to forget.""
\Still, Kotzebue is also a model for how rural communities can chart a new energy trajectory. In this small town 32 miles north of the Arctic Circle, officials have begun a major effort to cut their use of high-cost diesel by launching wind and solar projects.
\The Kotzebue Electric Association has established 19 wind turbine towers, each 250 feet tall, roughly four miles from town. They now provide 20 percent of Kotzebue's electricity and save it 250,000 gallons of diesel fuel a year. The association also manages wind projects for neighboring communities: Buckland dedicated two 100-kilowatt turbines in August, and Deering will be commissioning a 100-kilowatt turbine in October.
\""We are very pleased to see the president's focus on rural energy solutions,"" said Brad Reeve, the association's general manager. ""Accelerating Rural Alaska's integration of renewable energy sources like wind and solar will increase the sustainability of all Arctic communities.""
\The Northwest Arctic Borough, which helps govern not just Kotzebue but also 10 smaller surrounding communities, has also provided a grant to expand solar power in the region and to help run their water and sewer services. The grant has established a 20-KW project in Kotzebue and 10-KW solar projects in nine of the surrounding villages.
\Microgrids proliferate in Alaska because its rural communities are so far-flung. Alaska boasts more than 200 of them, according to Navigant Research, more than any other state. But diesel energy remains dominant: Only 70 of the microgrids have renewable power as part of their supply.
\""Isolated Alaskan villages provide a perfect template for developing practical, ""smart"" renewable energy systems than can largely replace dirty, expensive diesel power,"" said David Hayes, who helped lead the Interior Department's Arctic strategy as deputy secretary during Obama's first term and is now a visiting law professor at Stanford University. ""Marshaling U.S. technology to develop lower-cost, replicable, small-scale systems could dramatically improve the quality of life for villagers in Alaska and around the world.""
\Before heading to Kotzebue, Obama traveled to Dillingham in southwest Alaska, where he met with fishing operators and spoke of the need to protect the world's largest sockeye salmon fishery. Noting that he had barred oil and gas production in the region's Bristol Bay, he said it ""represents not just a critical way of life that has to be preserved, but it also represents one of the most important natural resources that the United States has.""
\""And by the way, that fish jerky, outstanding,"" he said, prompting laughter. ""So I strongly recommend it.""
"
11,AK,"Susitna-Watana dam project draws attention to renewable energy goal
",Becky Bohrer / Associated Press,"Feb 17, 2014","Top of Form
\Bottom of Form
\JUNEAU, Alaska - In 2010, the state adopted an energy policy that, among other things, set a goal of having 50 percent Alaska's electric generation come from renewable and alternative energy sources by 2025.
\The likeliest way to reach the goal is widely believed to include a major project in south-central Alaska, the proposed Susitna-Watana hydro complex. But the project, which critics see as unnecessary with the state pursuing a natural gas pipeline, is far from assured.
\Rep. Bill Stoltze, R-Chugiak, vented his frustration during a House Finance Committee hearing last week, saying the state should stop talking about the goal because he didn't see a commitment to it from Gov. Sean Parnell's administration. Stoltze later said his comments were more of a political challenge, borne of a desire to have a more open discussion on projects - to know, for example, what impact one project, like a gas line, could have on another, like Susitna.
\""If we can't juggle two things at once, let the public know,"" he said.
\Parnell spokeswoman Sharon Leighow said the state remains committed to the renewable-energy goal as demonstrated by investments in and ongoing work on the Susitna project and other hydro and wind projects across Alaska. Parnell included $10 million in next year's budget for the project.
\The governor said earlier this month that he had no basis to ask legislators for more money until the Alaska Energy Authority (AEA), which is behind the Susitna project, had made substantial progress toward or completed land-access agreements.
\AEA spokeswoman Emily Ford said the authority is currently negotiating land-access permits and hoped to soon have a signed permit to conduct environmental field work.
\The authority had sought $110 million to complete its initial study report and prepare its license application for the Federal Energy Regulatory Commission during the upcoming fiscal year. It requested and received more time to file its report, which was initially due Feb. 3.
\In recent years, the state has provided more than $170 million toward the project. With projections calling for slumping revenues and the state facing the prospect of using savings to get by, some lawmakers - like Stoltze's House Finance co-chair, Alan Austerman - have called for taking a tough look at projects and deciding if they are the best places for continued investment.
\House Speaker Mike Chenault told a news conference last month he believes that both Susitna and the gas line are needed to meet Alaska's future energy requirements. He called the money being spent now lead-up money, going toward work that will help the state decide whether the projects are viable and worth pursuing.
\Rep. Craig Johnson, R-Anchorage, noted that the lead-up phase isn't cheap. ""But I don't think that we want to advance the project without going through the due process, and that's not an inexpensive process,"" he said.
\Critics of the project worry about the impact the dam could have on things like salmon and river levels and flow. They fear it could be vulnerable in an earthquake.
\The project as proposed would be one of the tallest dams built in the U.S. in decades. Current plans call for a 735-foot dam built into the Susitna River Canyon and a reservoir that would stretch more than 40 miles. It is currently projected to cost $5.2 billion, though it is not yet clear how it might be financed.
\Melis Coady, who was recently in Juneau with a group of Susitna opponents, said Susitna isn't a good fit for the energy needs of Alaska, which in parts of the Railbelt include a need for more affordable heating options. Electricity, she said, doesn't keep you warm. She worries the state backed itself into a corner with Susitna and the renewable-energy goal.
\Sen. Bill Wielechowski, D-Anchorage, said he thinks Alaskans would love to get to the 50 percent goal, but he believes it would be extremely difficult without a project like Susitna. He said projects need to stand on their own and he still has questions about Susitna's impact on fisheries.
\""If the project doesn't work out for whatever reason, we need to re-evaluate,"" he said.
\Rep. Charisse Millett, who helped craft the energy policy, said she believes the renewable goal is attainable with or without Susitna. Other projects on the books through the Renewable Energy Fund can help move the state closer to that goal, she said.
\""Technology is moving faster and faster every day,"" Millett said.
\According to the 2013 Renewable Energy Atlas of Alaska, hydroelectric power supplies 20 percent of Alaska's electricity in an average water year. Wind provides less than 1 percent.
\The governor's Office of Management and Budget has reported the state's renewable-energy portfolio has grown steadily since 2008.
\Millett, R-Anchorage, supports the state continuing to pursue both Susitna and a gas-line project, in case one falters. Natural gas, while not renewable, is still a good form of ""clean"" energy, she said.
\The tone of discussion has changed since her first session in 2009, she said, moving from the state doing ""absolutely nothing"" for energy to what the state is doing and the available options.
\The issue now is money, she said.
\""But we're still all working toward the same goal: sustainable, cost-efficient energy for the whole state,"" Millett said.
"
12,AK,"Alaska lawmakers to speak at Chena Hot Springs Renewable Energy Fair
",Matt Buxton Fairbanks Daily News-Miner,"Aug 24, 2012","Top of Form
\Bottom of Form
\FAIRBANKS – The seventh annual Chena Hot Springs Renewable Energy Fair is set for Sunday, and a number of big names are expected to take part.
\Keynote speakers include Alaska Sens. Lisa Murkowski and Mark Begich; Rep. Don Young; Sen. Ron Wyden, D-Ore.; local mayors; Lt. Gov. Mead Treadwell; and Chena Hot Springs owner Bernie Karl.
\This year’s theme is “Renewable is Doable.” The event will include the unveiling of new geothermal wells, which will allow the operation to move off petroleum heating. There also will be a new LED light system for the Chena Fresh All Season Greenhouse.
\The event highlights the developing control over energy policy. Both Murkowski and Wyden are members of the Senate Committee on Energy and Natural Resources. Murkowski is the ranking Republican member, and Wyden is the No. 2 Democrat. The elections will determine who chairs the committee, which has oversight over multiple high-stakes energy projects.
\The event includes workshops and activities relating to the renewable energy efforts at the hot springs. There are free van shuttles from the University of Alaska Fairbanks Nenana bus shelter and Tanana Valley Fairgrounds, which leave at 8:15 a.m. and 8:35 a.m., respectively.
\The event is scheduled for 10 a.m. to 6 p.m.
\Admission and lunch are free.
"
13,AK,"Anchorage army base turns trash into energy
",The Associated Press,"Feb 15, 2013","Top of Form
\Bottom of Form
\JUNEAU, Alaska - Joint Base Elmendorf-Richardson near Anchorage now receives 25 percent of its electricity from old trash.
\Air Force Lt. Gen. Stephen Hoog, the senior military officer in Alaska, updated lawmakers on the status of the landfill gas power plant during a presentation to the Joint Armed Services Committee meeting Thursday.
\Hoog expects the plant, which has been operational since September, to pay for itself in five years.
\The project was made possible by a partnership with the Municipality of Anchorage and Doyon Utilities.
\Hoog says the plant uses processed methane collected from the Anchorage landfill. That gas would have otherwise been vented and burned into the atmosphere.
\Federal regulations require bases to power at least seven percent of their operations using renewable energy.
"
